	Organization		Sponsorship Category	Years of Sponsorship	Allocation															
	EVP Discretionary Fund		EVP		"$3,000"															
	EVP Spaces Director Stipend		EVP		"$2,000"															
	EVP Stipend		EVP		"$4,000"														
	Co-Campus Organizing Directors Stipend		EAVP		"$1,000"															
	Chief-of-Staff Stipend		EAVP		"$2,000"															
	EAVP Discretionary Fund		EAVP		"$33,000"															
	EAVP Stipend		EAVP		"$4,000"															
	Co-Legislative Affairs Directors Stipend		EAVP		"$1,000"															
	Legislative Conference		EAVP		"$15,000"															
	UC Student Association Dues		EAVP		"$52,435"														
	AAVP Discretionary Fund		AAVP		"$3,500"															
	AAVP Stipend		AAVP		"$4,000"															
	Chief-of-Staff Stipend		AAVP		"$2,000"														
	Internal Chief-of-Staff Stipend		SAO		"$1,500"															
	External Chief-of-Staff Stipend		SAO		"$1,500"															
	SAO Discretionary Fund		SAO		"$2,500"															
	SAO Caseworker stipends (10 stipends)		SAO		"$2,000"															
	SAO Stipend		SAO		"$4,000"														
	ASUC Bootcamp		SEN		"$2,000"															
	ASUC Conference		SEN		"$2,000"															
	Senate Leadership Institute / Senate Meetings		SEN		"$5,000"															
	Senators' Discretionary Funds ($500.00 each)		SEN		"$10,000"															
	Senators' Stipend ($500.00 each)		SEN		"$10,000"													
	2 Student Union Board of Directors Stipend ($100 each)		AOFR		$200															
	Chief Appointed Officials Support Staff Stipends 		AOFR		$500															
	Chief Communication Officer Stipend		AOFR		"$2,000"															
	Chief Financial Officer Stipend		AOFR		"$2,000"															
	Chief Legal Officer Stipend		AOFR		"$2,000"															
	Chief Personnel Officer Stipend		AOFR		"$2,000"															
	Chief Technology Officer Stipend		AOFR		"$2,000"															
	Judicial Council Office		AOFR		$0															
	Livestream Coordinator Stipend		AOFR		$500															
	Marketing and Communications Office (Discretionary)		AOFR		"$5,000"															
	Legal Office		AOFR		$105															
	Finance Office		AOFR		$500															
	Public Defender Stipend		AOFR		$150															
	Archives		OPRS		$0															
	ASUC Administrative Office		OPRS		"$73,000"															
	ASUC End of Year Banquet		OPRS		"$3,000"															
	Audit		OPRS		"$25,000"															
	Bank Fee		OPRS		"$1,000"															
	Big Ideas		OPRS		"$15,000"															
	Capital Improvement Fund Allocation		OPRS		"$30,000"															
	Contingency		OPRS		"$100,000"															
	Emergency Legal Defense Fund		OPRS		"$190,000"															
	Legal Fee		OPRS		"$32,000"															
	Long Term Investment		OPRS		"$1,000"														
	Elections Council - Chief of Staff Stipend		ELCT		$250															
	Elections Council - 3 Auditor/Prosecutor Assistant Stipends ($100.00 each)		ELCT		$300															
	Elections Council - Assistant Chair Stipend		ELCT		$300															
	Elections Council - Chair Stipend		ELCT		"$1,000"															
	Elections Council - Chief Auditor Stipend		ELCT		$350															
	Elections Council - Prosecutor Stipend		ELCT		$300															
	Elections Operations		ELCT		"$4,500"															
	D&O Insurance		GEN		"$2,000"															
	GL Insurance		GEN		"$18,000"
