Publications	Type	Standing	Request	Proposal	Proposal	Proposal	Allocation
Gates Millennium Scholars Association	SISG	6	"$1,317.00"	"$1,317.00"	"$1,317.00"	"$1,317.00"	"$1,317.00"
GIANT - UC Berkeley Filmmakers	SISG	8	"$3,704.00"	"$1,432.41"	"$1,432.41"	"$1,432.41"	"$1,432.41"
Global Medical Brigades at Berkeley	SISG	3	"$5,253.48"	$344.54	$344.54	$344.54	$344.54
Health and Medical Apprenticeship Program (HMAP)	SISG	28	"$31,806.76"	"$12,899.71"	"$12,899.71"	"$12,899.71"	"$12,899.71"
Hermanas Unidas	SISG	7	"$2,055.00"	$179.16	$179.16	$600.00	$600.00
Hermanos Unidos	SISG	7	$0.00	Sponsorship Only	Sponsorship Only	Sponsorship Only	Sponsorship Only
Hispanic Engineers and Scientists	SISG	5	$0.00	Sponsorship Only	Sponsorship Only	Sponsorship Only	Sponsorship Only
Hmong Student Association at Berkeley	SISG	5	"$5,800.00"	"$1,066.38"	"$1,066.38"	"$1,066.38"	"$1,066.38"
Hispanic Scholarship Fund	SISG	5	$390.71	$0.00	$200.00	$200.00	$200.00
Inside the Living Room	SISG	3	$365.70	Sponsorship Only	$287.82	$287.82	$287.82
Iu-Mien Student Union	SISG	6	"$10,951.21"	$496.14	$496.14	$496.14	$496.14
Labor Coach Program	SISG	2	$397.00	$65.00	$65.00	$65.00	$65.00
"Lambda Theta Alpha Latin Sorority, Inc."	SISG	6	"$3,650.00"	$895.44	$895.44	$895.44	$895.44
Lambda Theta Phi Latin Fraternity	SISG	6	"$10,835.00"	$0.00	"$1,000.00"	"$1,000.00"	"$1,000.00"
Laotian American Student Representative	SISG	14	$582.50	$504.00	$504.00	$504.00	$504.00
Let's Rise Asian Mentorship	SISG	10	"$3,500.00"	"$1,575.00"	"$1,575.00"	"$1,575.00"	"$1,575.00"
Movimiento Estudiantil Chicano/Xicana de Atzlan (MEChxA) de UC Berkeley	SISG	2	"$3,616.87"	$105.00	$474.09	$474.09	$474.09
National Council of Negro Women	SISG	6	"$2,830.00"	$210.00	"$1,400.00"	"$1,400.00"	"$1,400.00"
Native American Recruitment and Retention Center	SISG	20	"$19,275.00"	"$10,873.30"	"$10,873.30"	"$10,873.30"	"$10,873.30"
Oakland Asian Students Educational Services (OASES)	SISG	10	"$2,437.00"	$803.13	$803.13	$803.13	$803.13
Open Computing Facility	SISG	23	"$88,218.60"	"$21,266.70"	"$21,266.70"	"$21,266.70"	"$21,266.70"
Pacific Islanders at Cal	SISG	5	"$2,945.00"	$997.50	$997.50	$997.50	$997.50
Paws and Claws of Berkeley	SISG	1	$40.00	$40.00	$40.00	$40.00	$40.00
People's Test Preparation Service	SISG	16	"$6,353.00"	"$3,332.42"	"$3,332.42"	"$3,332.42"	"$3,332.42"
Phi Delta Epsilon	SISG	5	"$7,763.67"	$210.00	$210.00	$210.00	$210.00
Pilipino Academic Student Services	SISG	28	"$92,920.00"	"$23,326.97"	"$23,326.97"	"$23,326.97"	"$23,326.97"
Project RISHI	SISG	5	"$4,328.50"	$620.18	$620.18	$620.18	$620.18
Project Spreading Multiculturalism and Inspiring Leadership through Education (Project SMILE)	SISG	4	"$3,701.46"	"$2,310.00"	"$2,310.00"	"$2,310.00"	"$2,310.00"
Project Vision	SISG	6	"$1,268.00"	$420.00	$420.00	$420.00	$420.00
Prytanean Women's Honor Society	SISG	1	$199.27	$100.00	$100.00	$100.00	$100.00
PUENTE	SISG	1	"$1,999.55"	$100.00	$100.00	$100.00	$100.00
Queer Alliance and Resource Center	SISG	45	"$14,045.00"	"$12,983.55"	"$12,983.55"	"$12,983.55"	"$12,983.55"
RAZA Caucus	SISG	1	$50.00	$50.00	$50.00	$50.00	$50.00
Raza Recruitment & Retention Center	SISG	35	"$60,000.00"	"$9,741.93"	"$9,741.93"	"$42,864.51"	"$42,864.51"
REACH! Asian Pacific Islander Recruitment & Retention Center	SISG	17	"$54,800.00"	"$15,646.27"	"$15,646.27"	"$15,646.27"	"$15,646.27"
Re-Entry Transfer Student Association	SISG	15	"$24,688.00"	"$1,120.48"	"$1,120.48"	"$1,120.48"	"$1,120.48"
RISE	SISG	5	"$5,000.00"	$157.50	$157.50	$157.50	$157.50
Rotaract Club	SISG	8	"$5,845.00"	$840.00	"$1,200.00"	"$1,200.00"	"$1,200.00"
Seed of Health	SISG	1	$800.00	$100.00	$100.00	$100.00	$100.00
Service Network at Berkeley	SISG	1	"$1,276.76"	$100.00	$100.00	$100.00	$100.00
"Sigma Pi Alpha Sorority, Inc."	SISG	4	$700.00	$210.00	$700.00	$700.00	$700.00
Southeast Asian Mentorship (SEAM)	SISG	6	"$8,297.00"	$618.11	$618.11	$618.11	$618.11
Southeast Asian Prison Outreach Project	SISG	2	$590.00	$25.00	$25.00	$25.00	$25.00
Southeast Asian Student Coalition	SISG	12	"$31,434.00"	"$2,835.00"	"$2,835.00"	"$2,835.00"	"$2,835.00"
Spread The Word	SISG	1	"$1,080.00"	$100.00	$100.00	$100.00	$100.00
Spring Foundation	SISG	1	"$3,150.00"	$100.00	$100.00	$100.00	$100.00
STOP the Traffick	SISG	6	$530.00	$456.88	$456.88	$456.88	$456.88
Student Parent Association for Recruitment and Retension (SPARR)	SISG	14	"$7,746.00"	"$1,902.81"	"$1,902.81"	"$1,902.81"	"$1,902.81"
Student-to-Student Peer Counseling	SISG	22	"$7,490.33"	"$2,961.56"	"$3,700.00"	"$3,700.00"	"$3,700.00"
Supporting Peers in Laid-Back Listening (SPILL)	SISG	3	$800.00	$50.00	$50.00	$50.00	$50.00
Take Back the Night	SAG	10	$616.75	$50.00	$300.00	$300.00	$300.00
Teach In Prison	SISG	4	"$4,252.18"	$210.00	$500.00	$500.00	$500.00
Team HBV	SISG	6	"$1,194.54"	$739.69	$739.69	$739.69	$739.69
The Berkeley Project	SISG	6	"$1,607.52"	"$1,575.00"	"$1,575.00"	"$1,575.00"	"$1,575.00"
The Magnolia Project	SISG	6	"$2,102.45"	$886.85	$886.85	$886.85	$886.85
The Suitcase Clinic	SISG	14	"$4,850.00"	"$2,348.82"	"$2,348.82"	"$2,348.82"	"$2,348.82"
Theater for Charity	SISG	8	$709.20	$709.20	$709.20	$709.20	$709.20
TRENZA	SISG	14	"$1,601.00"	"$1,601.00"	"$1,601.00"	"$1,601.00"	"$1,601.00"
Universal Love and Peace	SISG	2	"$3,021.00"	$47.40	$300.00	$300.00	$300.00
Union Salvdorena de Estudiantes Universitarios	SISG	1	"$1,308.00"	$0.00	$50.00	$50.00	$50.00
V-Day at Berkeley	SISG	6	"$1,258.75"	"$1,214.84"	"$1,214.84"	"$1,214.84"	"$1,214.84"
Vietnamese Student Association	SISG	21	"$8,738.99"	"$2,315.71"	"$2,315.71"	"$2,315.71"	"$2,315.71"
Volunteer Health Interpreters Organization (VHIO)	SISG	7	"$1,001.00"	$112.50	$800.00	$800.00	$800.00
Volunteers for Medical Outreach	SISG	5	"$14,476.95"	$688.80	$688.80	$688.80	$688.80
Wonderworks	SISG	2	$500.00	$105.00	$105.00	$105.00	$105.00
World Literacy Project	SISG	1	$192.00	$100.00	$100.00	$100.00	$100.00
Xinaxtli	SISG	41	"$71, 000"	"$2,757.31"	"$2,757.31"	"$2,757.31"	"$2,757.31"
Youth Empowerment Program	SISG	1	"$16,596.00"	$100.00	$100.00	$100.00	$100.00
Youth Support Program	SISG	17	"$2,108.00"	$274.50	"$1,207.81"	"$1,207.81"	"$1,207.81"
D.U.L.C.E.: Diabetes Unidos Lograremos Controlar esta Enfermedad	SISG	5	"$1,672.45"	$146.58	$475.00	$475.00	$475.00
Disabled Students Union	SISG	8	"$7,000.00"	$50.00	"$1,700.00"	"$1,700.00"	"$1,700.00"
President	GOVT			"$10,000.00"	"$10,000.00"	"$10,000.00"	"$10,000.00"
Executive Vice President	GOVT			"$10,000.00"	"$10,000.00"	"$10,000.00"	"$10,000.00"
External Affairs Vice President	GOVT			"$18,000.00"	"$18,000.00"	"$18,000.00"	"$18,000.00"
Academic Affairs Vice President	GOVT			"$10,000.00"	"$10,000.00"	"$10,000.00"	"$10,000.00"
Student Advocate	GOVT			"$10,500.00"	"$10,500.00"	"$10,500.00"	"$10,500.00"
Senate Only	GOVT			"$7,000.00"	"$7,000.00"	"$7,000.00"	"$7,000.00"
Secretariat	GOVT			"$64,000.00"	"$64,000.00"	"$64,000.00"	"$64,000.00"
Judicial Council	GOVT		$543.00	$543.00	$543.00	$543.00	$543.00
Finance Officer	GOVT			"$1,500.00"	"$1,500.00"	"$1,500.00"	"$1,500.00"
Systems Administrator	GOVT			"$16,000.00"	"$16,000.00"	"$16,000.00"	"$16,000.00"
Webmaster	GOVT			"$1,000.00"	"$1,000.00"	"$1,000.00"	"$1,000.00"
Attorney General	GOVT			"$1,000.00"	"$1,000.00"	"$1,000.00"	"$1,000.00"
Advocacy Agenda	GOVT			$800.00	$800.00	$800.00	$800.00
Elections Council	GOVT			"$30,000.00"	"$30,000.00"	"$30,000.00"	"$30,000.00"
Allocation to the Graduate Assembly	GRAD			"$416,200.00"	"$416,200.00"	"$416,200.00"	"$416,200.00"
ASUC Archives	OPS			"$4,000.00"	"$4,000.00"	"$4,000.00"	"$4,000.00"
ASUC Information Desk	OPS			"$5,000.00"	"$5,000.00"	"$5,000.00"	"$5,000.00"
Attorney's Fees	OPS			"$60,000.00"	"$60,000.00"	"$60,000.00"	"$60,000.00"
Audit	OPS			"$15,000.00"	"$15,000.00"	"$15,000.00"	"$15,000.00"
Cal Lodge	OPS			"$20,000.00"	"$20,000.00"	"$20,000.00"	"$20,000.00"
CNS Internet Operations Fee	OPS			"$13,257.00"	"$13,257.00"	"$13,257.00"	"$13,257.00"
Eshelman Library	OPS			$0.00	$0.00	$0.00	$0.00
Publication Center	OPS			"$4,500.00"	"$4,500.00"	"$4,500.00"	"$4,500.00"
Student Sustainability	OPS		"$3,073.60"	"$1,500.00"	"$1,500.00"	"$1,500.00"	"$1,500.00"
UC Student Association	OPS			"$32,026.80"	"$32,026.80"	"$32,026.80"	"$32,026.80"
Academic Opportunity Fund	PRO			"$10,000.00"	"$10,000.00"	"$10,000.00"	"$10,000.00"
ASUC Fund for Intellectual Community	PRO			"$5,000.00"	"$5,000.00"	"$5,000.00"	"$5,000.00"
ASUC Green Certification Program	PRO			$0.00	$0.00	"$1,000.00"	"$1,000.00"
ASUC Lobby Corps	PRO			"$5,500.00"	"$5,500.00"	"$5,500.00"	"$5,500.00"
Cal Day Concert	PRO			"$10,000.00"	"$10,000.00"	"$10,000.00"	"$10,000.00"
CAL Housing Commission	PRO			"$2,500.00"	"$2,500.00"	"$2,500.00"	"$2,500.00"
Commission of Diversity Affairs	PRO			$400.00	$400.00	$400.00	$400.00
Dance Marathon	PRO		"$18,310.37"	"$5,000.00"	"$5,000.00"	"$5,000.00"	"$5,000.00"
Disability Accomodation Fund	PRO			"$8,000.00"	"$8,000.00"	"$8,000.00"	"$8,000.00"
Educational Enhancement Fund	PRO			"$3,000.00"	"$3,000.00"	"$3,000.00"	"$3,000.00"
Executive Officer Leadership Institute	PRO			"$3,500.00"	"$6,000.00"	"$6,000.00"	"$6,000.00"
Greek Opportunity Fund	PRO			"$8,000.00"	"$8,000.00"	"$8,000.00"	"$8,000.00"
Health and Wellness Initiative	PRO			"$14,000.00"	"$14,000.00"	"$14,000.00"	"$14,000.00"
Innovative Design	PRO		"$9,717.59"	"$4,000.00"	"$4,000.00"	"$4,000.00"	"$4,000.00"
Multicultural Fund	PRO			"$5,000.00"	"$5,000.00"	"$5,000.00"	"$5,000.00"
Outstanding Student Recognition Program	PRO			"$1,250.00"	"$1,250.00"	"$1,250.00"	"$1,250.00"
Perspectives	PRO			"$1,900.00"	"$1,900.00"	"$1,900.00"	"$1,900.00"
Public Service Fund	PRO			"$5,000.00"	"$5,000.00"	"$5,000.00"	"$5,000.00"
Spring Welcome Week	PRO			"$2,726.77"	"$2,726.77"	"$2,726.77"	"$2,726.77"
Student Initiative Fund/Bears Breaking Boundaries	PRO			"$15,000.00"	"$15,000.00"	"$15,000.00"	"$15,000.00"
SUPERB	PRO		"$199,090.00"	"$125,000.00"	"$125,000.00"	"$125,000.00"	"$125,000.00"
Undergraduate Graduate Mentorship Program	PRO			"$1,705.00"	"$1,705.00"	"$1,705.00"	"$1,705.00"
Voter Registration	PRO			"$1,030.00"	"$1,030.00"	"$1,030.00"	"$1,030.00"
Senate Contingency				"$24,000.00"	"$24,000.00"	"$24,000.00"	"$24,000.00"
Legal Defense Fund				"$16,000.00"	"$16,000.00"	"$16,000.00"	"$16,000.00"
