Publications	Type	Standing	Request	Proposal	Proposal	Allocation
Student National Medical Association-Minority Association of Premed Stu	SISG	2	$350	$95	$95	$95
Student Parent Association for Recruitment and Retention	SISG	14	"$2,500"	"$1,941"	"$3,417"	"$3,417"
Student-to-Student Peer Couseling	SISG	23	"$1,700"	"$1,700"	"$1,700"	"$1,700"
Suitcase Clinic	SISG	15	"$5,000"	"$2,396"	"$2,396"	"$2,396"
Supporting Peers in Laidback Listening (SPILL)	SISG	4	$500	$0	$450	$450
Take Back the Night	SISG	11	$600	$306	$306	$306
Teach In Prison	SISG	4	$600	$250	$400	$400
Team HBV	SISG	7	$857	$754	$754	$754
Theater for Charity	SISG	9	"$2,420"	"$1,598"	"$1,598"	"$1,598"
TRENZA	SISG	15	"$1,600"	"$1,600"	"$1,600"	"$1,600"
UNICEF at Cal	SISG	11	$980	$803	$803	$803
Universal Love and Peace (ULAP)	SISG	3	"$2,000"	$750	$750	$750
Vietnamese Student Association	SISG	22	"$5,500"	"$5,118"	"$5,118"	"$5,118"
Volunteer Health Interpreters Organization	SISG	8	"$1,000"	$816	$816	$816
Volunteers Around the World- UC Berkeley	SISG	3	"$1,500"	$750	$750	$750
Volunteers For Medical Outreach	SISG	6	"$3,942"	$703	$703	$703
WonderWorks	SISG	3	$600	$0	$247	$247
World Literacy Project	SISG	2	$200	$200	$200	$200
Xinaxtli	SISG	42	"$16,030"	"$2,812"	"$2,812"	"$2,812"
You Mean More	SISG	3	$600	$600	$600	$600
Young Queers United for Empowerment	SISG	6	"$1,695"	$240	$900	$900
Youth Empowerment Program	SISG	2	"$1,664"	$500	$500	$500
Youth Support Program	SISG	18	$400	$400	$400	$400
Academic Affairs Vice President	GOVT			"$10,000"	"$10,000"	"$10,000"
Attorney General	GOVT			"$1,000"	"$1,000"	"$1,000"
Elections Council	GOVT			"$30,000"	"$30,000"	"$30,000"
Executive Vice President	GOVT			"$10,000"	"$10,000"	"$10,000"
External Affairs Vice President	GOVT			"$10,000"	"$10,000"	"$10,000"
Finance Officer	GOVT			"$1,500"	"$1,500"	"$1,500"
Judicial Council	GOVT			$730	$730	$730
President	GOVT			"$10,000"	"$10,000"	"$10,000"
Secretariat	GOVT			"$64,000"	"$64,000"	"$64,000"
Senate Only	GOVT			"$7,000"	"$7,000"	"$7,000"
Student Advocate	GOVT			"$10,000"	"$10,000"	"$10,000"
Webmaster	GOVT			"$1,000"	"$1,000"	"$1,000"
Allocation to the Graduate Assembly	GRAD			"$410,660.33"	"$410,660.33"	"$410,660"
GRAD SUB-TOTAL				"$410,660.33"	"$410,660.33"	"$410,660.33"
OPERATIONS						
ASUC Archives	OPS			"$4,000"	"$4,000"	"$4,000"
Attorney's Fees	OPS			"$60,000"	"$60,000"	"$60,000"
Audit	OPS			"$15,000"	"$15,000"	"$15,000"
CNS Internet Operations Fee	OPS			"$13,257"	"$13,257"	"$13,257"
Publication Center	OPS			"$4,500"	"$4,500"	"$4,500"
UC Student Association	OPS			"$32,027"	"$32,027"	"$32,027"
Academic Opportunity Fund	PRO			"$10,000"	"$10,000"	"$10,000"
ASUC Fund for Intellectual Community	PRO			"$5,000"	"$5,000"	"$5,000"
ASUC Lobby Corps	PRO			"$17,000"	"$17,000"	"$17,000"
ASUC Student Legal Clinic	PRO			"$3,596"	"$3,596"	"$3,596"
ASUC SUPERB	PRO			"$127,500"	"$127,500"	"$127,500"
ASUC Sustainability Team	PRO			"$1,530"	"$1,530"	"$1,530"
ASUC Textbook Scholarship	PRO			$0	"$2,000"	"$2,000"
Cal Day Concert	PRO			"$10,000"	"$10,000"	"$10,000"
CAL Housing Commission	PRO			"$2,500"	"$2,500"	"$2,500"
Dance Marathon	PRO			"$4,700"	"$4,700"	"$4,700"
Disability Accomodation Fund	PRO			"$8,000"	"$8,000"	"$8,000"
Educational Enhancement Fund	PRO			"$3,000"	"$3,000"	"$3,000"
Executive Officer Leadership Institute	PRO			"$3,500"	"$3,500"	"$3,500"
Greek Opportunity Fund	PRO			"$10,000"	"$10,000"	"$10,000"
Innovative Entertainment	PRO			$150	$150	"$1,000"
Innovative Design	PRO			"$4,000"	"$4,000"	"$4,000"
Multicultural Fund	PRO			"$5,000"	"$5,000"	"$5,000"
Outstanding Student Recognition Program	PRO			"$1,250"	"$1,250"	"$1,250"
Perspectives	PRO			"$1,900"	"$1,900"	"$1,900"
Public Service Fund	PRO			"$5,000"	"$5,000"	"$5,000"
Spring Welcome Week	PRO			"$2,727"	"$2,727"	"$2,727"
Student Initiative Fund/Bears Breaking Boundaries	PRO			"$15,000"	"$15,000"	"$15,000"
Undergraduate Graduate Mentorship Program	PRO			"$1,705"	"$1,705"	"$1,705"
Voter Registration	PRO			"$1,500"	"$1,500"	"$1,500"
Senate Contingency			"$24,000"	"$24,000"	"$40,000"
Space Reversation Fund			"$33,333"	"$33,333"	"$33,333"	
Legal Defense Fund			"$16,500"	"$16,500"	"$16,500"
