GROUP	TYPE (YEAR)	FUNDING REQUEST	CFO	FINANCE COMMITTEE	FINAL ALLOCATION
Best Buddies at Berkeley	SISG (9)	$600.00	$400.00	$400.00	$400.00
Black Recruitment and Retention Center	SISG (33)	"$43,000.00"	"$43,000.00"	"$43,000.00"	"$43,000.00"
Black Students in Health Association	SISG (2)	$600.00	$600.00	$600.00	$600.00
Blood Pressure Project	SISG (2)	$600.00	$600.00	$600.00	$600.00
"Blueprint, Technology for Nonprofits"	SISG (4)	$200.00	$200.00	$200.00	$200.00
Boalt Veteran Assistance Project	SISG (1)	$500.00	$500.00	$500.00	$500.00
Body Peace	SISG (3)	$160.00	$160.00	$160.00	$160.00
bridges Multicultural Resource Center	SISG (19)	"$27,000.00"	"$22,500.00"	"$23,500.00"	"$25,000.00"
Cal Berkeley Habitat for Humanity	SISG (15)	"$2,500.00"	"$1,100.00"	"$2,200.00"	"$2,200.00"
Cal Camp	SISG (67)	"$23,638.00"	"$15,000.00"	"$10,000.00"	"$10,000.00"
Cal Community Music	SISG (31)	$300.00	$300.00	$300.00	$300.00
Cal in Local Government	SISG (8)	"$4,963.20"	"$1,100.00"	"$1,700.00"	"$1,700.00"
Cal Queer & Asian	SISG (6)	"$3,300.00"	"$1,000.00"	"$1,000.00"	"$1,000.00"
Cal Veterans Group	SISG (7)			"$2,700.00"	"$2,700.00"
CALPIRG - California Public Interest Research Group	SISG (10)	"$1,500.00"	"$1,300.00"	"$1,300.00"	"$1,300.00"
Chican@/ Latin@ Architecture Student Association	SISG (2)	$450.00	$450.00	$450.00	$450.00
Chicano(a)s/Latino(a)s in Health Education	SISG (26)	"$2,330.00"	"$2,200.00"	"$2,200.00"	"$2,200.00"
Colleges Against Cancer	SISG (5)			"$1,100.00"	"$1,100.00"
CREATE - Creative Residencies for Emerging Artists Teaching Empowerment	SISG (3)	$600.00	$600.00	$600.00	$600.00
Dance the Bay	SISG (1)	$600.00	$500.00	$500.00	$500.00
Delta Sigma Theta	SISG (14)	"$3,000.00"	"$2,100.00"	"$2,100.00"	"$2,100.00"
Disabled Students Union	SISG (11)	$600.00	$600.00	$600.00	$600.00
Dr. Interns	SISG (3)	$300.00	$300.00	$300.00	$300.00
Drawn to Scale	SISG (5)	"$1,000.00"	$400.00	$400.00	$400.00
DULCE (Diabetes: Unidos Lograremos Controlar Esta Enfermedad)	SISG (8)	$800.00	$550.00	$550.00	$550.00
East Bay Community builders	SISG (3)	"$20,000.00"	$500.00	$600.00	$600.00
Engineers Without Borders at Berkeley	SISG (4)	$0.00	$0.00	$0.00	$0.00
EthiCAL Apparel	SISG (6)	"$1,000.00"	$600.00	$600.00	$600.00
Expanding Your Horizons at Berkeley	SISG (4)	"$1,000.00"	$500.00	$500.00	$500.00
FeelGood Berkeley	SISG (8)	"$1,180.00"	$800.00	$800.00	$800.00
Footprintz at Berkeley	SISG (3)	$800.00	$600.00	$600.00	$600.00
"Gamma Zeta Alpha Fraternity, Inc."	SISG (8)			"$1,200.00"	"$1,200.00"
Gates Millennium Scholars Association	SISG (9)	$950.00	$650.00	$650.00	$650.00
GIANT Filmmakers	SISG (10)	"$1,310.00"	"$1,310.00"	"$1,310.00"	"$1,310.00"
Global Health Brigades	SISG (9)	$300.00	$300.00	$300.00	$300.00
Global Internships @ Berkeley	SISG (3)	$200.00	$200.00	$200.00	$200.00
Grant a Wish at Berkeley	SISG (3)	$300.00	$300.00	$300.00	$300.00
Greening The Greeks	SISG (5)	"$4,000.00"	$800.00	$800.00	$800.00
Haath Mein Sehat	SISG (1)	$200.00	$200.00	$200.00	$200.00
Health and Medical Apprenticeship Program - HMAP	SISG (31)	"$14,500.00"	"$12,500.00"	"$12,500.00"	"$12,500.00"
Health Leads	SISG (1)	$300.00	$300.00	$300.00	$300.00
Hermanas Unidas	SISG (10)	"$1,200.00"	$900.00	$900.00	$900.00
Hermanos Unidos	SISG (10)	$600.00	$450.00	$450.00	$450.00
Hispanic Engineers and Scientists	SISG (1)	$600.00	$500.00	$500.00	$500.00
Hmong Student Association at Berkeley	SISG (8)	"$2,000.00"	"$1,200.00"	"$1,200.00"	"$1,200.00"
Humanity First at Berkeley	SISG (1)	$500.00	$500.00	$500.00	$500.00
"iHeart (international Health, Education, Advocacy, Research, and Training)"	SISG (1)	$200.00	$200.00	$200.00	$200.00
InnoWorks	SISG (1)	$500.00	$500.00	$500.00	$500.00
Inside the Living Room	SISG (6)	$500.00	$400.00	$400.00	$400.00
Iu-Mien Student Union	SISG (9)	"$3,000.00"	"$1,200.00"	"$1,200.00"	"$1,200.00"
Korean Compassion at Berkeley	SISG (1)	$300.00	$300.00	$300.00	$300.00
La Clinica Student Alliance	SISG (1)	$570.00	$500.00	$500.00	$500.00
"La Unidad Latina, Lambda Upsilon Lambda Fraternity, Inc."	SISG (3)	"$1,500.00"	$600.00	$600.00	$600.00
Labor Coach Program	SISG (5)	"$1,000.00"	$800.00	$800.00	$800.00
"Lambda Theta Alpha Latin Sorority, Inc."	SISG (9)	"$5,450.00"	$300.00	"$1,500.00"	"$1,500.00"
"Lambda Theta Nu Sorority, Incorporated"	SISG (6)	"$1,500.00"	$300.00	$300.00	$300.00
"Lambda Theta Phi Latin Fraternity, Inc."	SISG (9)	"$10,031.00"	"$1,500.00"	"$2,000.00"	"$2,000.00"
Laotian American Student Representatives	SISG (17)	"$4,000.00"	$650.00	"$1,050.00"	"$1,050.00"
Learning Enterprises at Berkeley	SISG (1)	$500.00	$500.00	$500.00	$500.00
MEDLIFE	SISG (5)	$450.00	$450.00	$450.00	$450.00
Mental Health Coalition	SISG (1)	$500.00	$500.00	$500.00	$500.00
Mixed Student Union	SISG (19)	"$2,000.00"	"$1,000.00"	"$1,000.00"	"$1,000.00"
Movimiento Estudiantil Chicano/xicana de Atzlan	SISG (4)	$800.00	$400.00	$400.00	$400.00
Multi-Cultural Greek Council	SISG (2)	$400.00	$400.00	$400.00	$400.00
National Council of Negro Women	SISG (9)	"$5,190.00"	"$1,700.00"	"$1,700.00"	"$1,700.00"
Native American Recruitment and Retention Center	SISG (23)	"$15,000.00"	"$9,000.00"	"$10,000.00"	"$10,000.00"
Nourish International at Berkeley	SISG (1)	$600.00	$500.00	$500.00	$500.00
Nova at Berkeley	SISG (1)	"$3,950.00"	$500.00	$500.00	$500.00
Oakland Asian Student Educational Services	SISG (13)	"$1,000.00"	"$1,000.00"	"$1,000.00"	"$1,000.00"
"Omega Phi Beta Sorority, Incoporated"	SISG (5)	"$2,000.00"	$800.00	$800.00	$800.00
Partners in Health Engage at Berkeley	SISG (1)	$500.00	$500.00	$500.00	$500.00
Patient Advocacy Student Group	SISG (3)	$600.00	$600.00	$600.00	$600.00
Paws and Claws of Berkeley	SISG (4)	$500.00	$500.00	$500.00	$500.00
Peer Health Exchange	SISG (1)	"$1,500.00"	$500.00	$500.00	$500.00
Pennies for Patients Committee at Berkeley	SISG (1)	$200.00	$200.00	$200.00	$200.00
People's Test Preparation Services	SISG (19)	"$2,650.00"	"$2,650.00"	"$2,650.00"	"$2,650.00"
Pilipino Academic Student Services - PASS	SISG (31)	"$35,000.00"	"$25,000.00"	"$29,000.00"	"$30,000.00"
Plan International	SISG (1)	"$1,000.00"	$500.00	$500.00	$500.00
Project Nutrition (Picknic)	SISG (3)	$475.00	$475.00	$475.00	$475.00
Project Peanut Butter	SISG (2)	$600.00	$600.00	$600.00	$600.00
"Project Rishi, The Berkeley Chapter"	SISG (8)	"$1,150.00"	$600.00	$600.00	$600.00
Project SMILE - Spreading Multiculturalism and Inspiring Leadership through Education	SISG (7)	"$2,300.00"	"$2,200.00"	"$2,200.00"	"$2,200.00"
Project Vision	SISG (9)	$600.00	$600.00	$600.00	$600.00
Queer Alliance & Resource Center	SISG (48)	"$31,530.00"	"$7,500.00"	"$14,000.00"	"$16,000.00"
Queer Straight Alliance	SISG (8)	$200.00	$200.00	$200.00	$200.00
Raza Caucus	SISG (1)	$500.00	$500.00	$500.00	$500.00
RAZA Recruitment and Retention Center	SISG (38)	"$75,000.00"	"$45,500.00"	"$50,000.00"	"$50,000.00"
Re-entry and Transfer Student Association	SISG (18)	"$11,440.00"	"$2,000.00"	"$2,000.00"	"$2,000.00"
REACH! Asian/Pacific Islander Recruitment and Retention Center	SISG (20)			"$17,500.00"	"$17,500.00"
Renters' Legal Assistance	SISG (33)	"$3,200.00"	"$2,700.00"	"$2,700.00"	"$2,700.00"
Rotaract	SISG (11)	"$4,000.00"	"$1,000.00"	"$1,000.00"	"$1,000.00"
Sigma Pi Alpha (ELLAs)	SISG (7)	$700.00	$500.00	$500.00	$500.00
SDC Blue Ribbon Foundation Berkeley District	SISG (2)	$600.00	$600.00	$600.00	$600.00
Southeast Asian Mentorship	SISG (9)	"$1,000.00"	$700.00	$700.00	$700.00
Southeast Asian Prison Outreach Project	SISG (5)	$900.00	$650.00	$650.00	$650.00
Southeast Asian Student Coalition	SISG (15)	"$9,000.00"	"$6,200.00"	"$7,500.00"	"$7,500.00"
Spring Foundation	SISG (4)	$800.00	$700.00	$700.00	$700.00
Student Financial Advisory Committee	SISG (2)	$200.00	$200.00	$200.00	$200.00
Student Parent Association For Recruitment and Retention	SISG (16)	"$3,500.00"	"$3,000.00"	"$3,500.00"	"$3,500.00"
Suitcase Clinic	SISG (17)	"$15,000.00"	"$6,000.00"	"$8,500.00"	"$8,500.00"
Take Back The Night	SISG (13)	$500.00	$500.00	$500.00	$500.00
Teach in Prison	SISG (6)	"$2,160.00"	"$2,000.00"	"$2,000.00"	"$2,000.00"
Team HBV	SISG (9)	$850.00	$850.00	$850.00	$850.00
The Berkeley Project	SISG (9)	"$2,000.00"	$700.00	$700.00	$700.00
The Magnolia Project	SISG (9)	$600.00	$600.00	"$1,100.00"	"$1,100.00"
The Sage Mentorship Project	SISG (3)	$600.00	$600.00	$600.00	$600.00
The Youth Support Program	SISG (20)	"$1,200.00"	$600.00	$600.00	$600.00
Theater For Charity	SISG (11)	"$1,800.00"	"$1,500.00"	"$1,500.00"	"$1,500.00"
TRENZA	SISG (17)	"$2,300.00"	"$1,600.00"	"$1,600.00"	"$1,600.00"
UC Berkeley Public Service Center - Cal Corps	SISG (47)	"$50,000.00"	"$43,000.00"	"$43,000.00"	"$43,000.00"
Underground Scholars Initiative	SISG (1)	$700.00	$500.00	$500.00	$500.00
United Muslim Relief	SISG (1)	"$4,000.00"	$500.00	$500.00	$500.00
Universal Love and Peace	SISG (5)	"$6,845.00"	$700.00	$700.00	$700.00
Universities Allied for Essenital Medicines	SISG (2)	$700.00	$600.00	$600.00	$600.00
Vietnamese Student Association	SISG (24)	"$5,500.00"	"$5,000.00"	"$5,000.00"	"$5,000.00"
VISION	SISG (9)	$600.00	$500.00	$500.00	$500.00
Volunteer Health Interpreters Organization	SISG (10)	"$1,100.00"	$900.00	$900.00	$900.00
Volunteer Income Tax Assistance Program	SISG (2)	$600.00	$600.00	$600.00	$600.00
Volunteers Around the World	SISG (5)	"$1,000.00"	$800.00	$800.00	$800.00
Volunteers for Medical Outreach	SISG (8)	"$5,000.00"	"$1,400.00"	"$1,400.00"	"$1,400.00"
Wonderworks	SISG (5)	$500.00	$500.00	$500.00	$500.00
World Literacy Project	SISG (4)	$200.00	$200.00	$200.00	$200.00
Writer Coach	SISG (2)	$300.00	$300.00	$300.00	$300.00
You Mean More	SISG (5)	"$3,500.00"	$800.00	"$2,000.00"	"$2,000.00"
"Young Leaders for Empowerment, Advocacy, and Diversity"	SISG (1)	$904.00	$500.00	$500.00	$500.00
Young Queers United for Empowerment	SISG (8)	"$1,000.00"	$800.00	$800.00	$800.00
Youth Empowerment Program	SISG (4)	$800.00	$700.00	$700.00	$700.00
ASUC Archives	ASUC		"$4,000.00"	$0.00	$0.00
ASUC Open Computing Facility	ASUC	"$37,372.11"	"$18,500.00"	"$27,000.00"	"$27,000.00"
ASUC SUPERB - Student Union Program Entertainment & Recreation Board	ASUC	"$415,700.00"	"$130,000.00"	"$130,000.00"	"$130,000.00"
ASUC Sustainability Team	ASUC	"$2,000.00"	"$1,800.00"	"$1,800.00"	"$1,800.00"
Attorney's Fee	ASUC		"$30,000.00"	"$30,000.00"	"$30,000.00"
Audit	ASUC		"$20,000.00"	"$20,000.00"	"$20,000.00"
Bank Fee	ASUC		"$2,000.00"	"$2,000.00"	"$2,000.00"
Dance Marathon	ASUC	"$20,000.00"	"$8,000.00"	"$8,000.00"	"$8,000.00"
Democratic Education at Cal - DeCal	ASUC	"$5,000.00"	"$5,000.00"	"$5,000.00"	"$5,000.00"
Executive Officer Leadership Institute	ASUC		"$3,500.00"	"$3,500.00"	"$3,500.00"
Green Cerification Program	ASUC		"$1,000.00"	"$1,000.00"	"$1,000.00"
Innovative Design	ASUC	"$15,000.00"	"$2,000.00"	"$6,000.00"	"$6,000.00"
Innovative Entertainment	ASUC	"$5,000.00"	"$1,000.00"	"$1,000.00"	"$1,000.00"
Office of the Secretariat	ASUC		"$64,000.00"	"$58,000.00"	"$68,000.00"
Publications & Media Center	ASUC	"$5,750.00"	"$5,750.00"	"$5,750.00"	"$5,750.00"
Sexual Assault Commission	ASUC		"$3,000.00"	"$3,000.00"	"$3,000.00"
President Stipend	OP		"$4,000.00"	"$4,000.00"	"$4,000.00"
Chief-of-Staff Stipend	OP		"$1,500.00"	"$1,500.00"	"$1,500.00"
President Discretionary Fund	OP		"$5,000.00"	"$5,000.00"	"$5,000.00"
EVP Stipend	EVP		"$4,000.00"	"$4,000.00"	"$4,000.00"
Chief-of-Staff Stipend	EVP		"$1,500.00"	"$1,500.00"	"$1,500.00"
EVP Discretionary Fund	EVP		"$5,000.00"	"$5,000.00"	"$5,000.00"
EAVP Stipend	EAVP		"$4,000.00"	"$4,000.00"	"$4,000.00"
Chief-of-Staff Stipend	EAVP		"$1,500.00"	"$1,500.00"	"$1,500.00"
EAVP Discretionary Fund	EAVP		"$8,000.00"	"$19,000.00"	"$19,000.00"
Legislative Conference	EAVP		"$15,000.00"	"$15,000.00"	"$15,000.00"
Lobby Corps	EAVP		"$20,000.00"	"$20,000.00"	"$20,000.00"
UC Student Association	EAVP		"$32,000.00"	"$32,000.00"	"$32,000.00"
AAVP Stipend	AAVP		"$4,000.00"	"$4,000.00"	"$4,000.00"
Chief-of-Staff Stipend	AAVP		"$1,500.00"	"$1,500.00"	"$1,500.00"
AAVP Discretionary Fund	AAVP		"$5,000.00"	"$3,500.00"	"$3,500.00"
AAVP Grant - Academic Opportunity Fund (AOF)	AAVP		"$15,000.00"	"$15,000.00"	"$20,000.00"
AAVP Grant - ADA Accessibility Fund (ADAAF)	AAVP		"$4,000.00"	"$4,000.00"	"$4,000.00"
AAVP Grant - Arts and Creativity Fund (ACF)	AAVP		"$3,500.00"	"$3,500.00"	"$3,500.00"
AAVP Grant - DeCal Fund (DCF)	AAVP		"$3,500.00"	"$3,500.00"	"$3,500.00"
AAVP Grant - Educational Equity and Excellence Fund (EEEF)	AAVP		"$4,000.00"	"$4,000.00"	"$4,000.00"
AAVP Grant - Intellectual Community Fund (ICF)	AAVP		"$4,500.00"	"$4,500.00"	"$4,500.00"
AAVP Grant - Multicultural Fund (MCF)	AAVP		"$4,000.00"	"$4,000.00"	"$4,000.00"
AAVP Grant - Public Service Fund (PSF)	AAVP		"$4,500.00"	"$4,500.00"	"$4,500.00"
Malik Nixon Scholarship	AAVP		$500.00	$500.00	$500.00
Oski Scholarship	AAVP		$500.00	$500.00	$500.00
Outstanding Student Recognition Program	AAVP		"$1,000.00"	"$1,000.00"	"$1,000.00"
RISE Scholarship	AAVP		"$5,000.00"	"$5,000.00"	"$5,000.00"
STEMiOS Scholarship	AAVP		$500.00	$500.00	$500.00
Student Parent Award Recognizing Community Leadership (SPARCL) Award	AAVP		"$2,000.00"	"$2,000.00"	"$2,000.00"
Textbook Scholarship	AAVP		"$5,000.00"	"$5,000.00"	"$5,000.00"
SAO Stipend	SAO		"$4,000.00"	"$4,000.00"	"$4,000.00"
Chief-of-Staff Stipend	SAO		"$1,500.00"	"$1,500.00"	"$1,500.00"
SAO Discretionary Fund	SAO		"$5,000.00"	"$3,500.00"	"$3,500.00"
Attorney General Stipend	AG		"$1,500.00"	"$1,500.00"	"$1,500.00"
Cal Lodge Fund			"$20,000.00"	"$20,000.00"	"$20,000.00"
Capital Improvement Fund			$0.00	$0.00	$0.00
Chief Accountability Officer Stipend	CAO		"$1,000.00"	"$1,000.00"	"$1,000.00"
Chief Communication Officer Stipend	CCO		"$1,500.00"	"$1,500.00"	"$1,500.00"
Chief Financial Officer Stipend	CFO		"$1,500.00"	"$1,500.00"	"$1,500.00"
Chief Technology Officer Stipend	CTO		"$1,000.00"	"$1,000.00"	"$1,000.00"
Cooperative Opportunity Fund	COF		"$10,000.00"	"$7,000.00"	"$10,000.00"
Elections Council			"$4,000.00"	"$6,200.00"	"$6,200.00"
Elections Council - 2 Auditors Stipend ($150.00 each)			$700.00	$300.00	$300.00
Elections Council - Assistant Chair Stipend			$300.00	$300.00	$300.00
Elections Council - Chair Stipend			$750.00	$750.00	"$1,000.00"
Elections Council - Chief Auditor Stipend			$500.00	$350.00	$350.00
Elections Council - Polling Coordinator Stipend			$0.00	$0.00	$0.00
Elections Council - Prosecutor Stipend			$300.00	$300.00	$300.00
Elections Council - Public Defender Stipend			$300.00	$150.00	$150.00
Elections Council - Publicity Stipend			$0.00	$0.00	$0.00
Elections Council - Tech Coordinator Stipend			$600.00	$0.00	$250.00
Greek Opportunity Fund	GOF		"$10,000.00"	"$7,000.00"	"$10,000.00"
Judicial Council			$700.00	$700.00	$700.00
Legal Defense Fund			"$16,000.00"	"$16,000.00"	"$16,000.00"
Long Term Investment Fund			"$10,000.00"	"$10,000.00"	"$10,000.00"
Marketing and Communications			"$2,000.00"	"$9,000.00"	"$9,000.00"
Senate Contingency Fund	SCF		"$56,650.00"	"$65,720.00"	"$65,720.00"
Senate Only - Senate Leadership Institute			"$10,000.00"	"$10,000.00"	"$10,000.00"
Senators Discretionary Fund ($500.00 each)			"$10,000.00"	"$10,000.00"	"$10,000.00"
Senators Stipend ($500.00 each)			"$15,000.00"	"$10,000.00"	"$10,000.00"
Space Reservation Fund	SRF		"$22,222.22"	"$22,222.22"	"$22,222.22"
ASUC Allocation to the Graduate Assembly	GRAD		"$422,138.92"	"$422,138.92"	"$422,138.92"
Commercial Activities and Student Services Agreement	CASSA		"$83,334.00"	"$83,334.00"	"$83,334.00"
Space Reservation Fund	SRF		"$11,111.00"	"$11,111.00"	"$11,111.00"
