,Organization,Type,Designation,Standing,Allocation
403,InnoWorks of Berkeley,SISG,Service RSO,6,275.0
404,Inside the Living Room,SISG,Service RSO,1,379.0
405,INvent,SISG,Technology RSO,1,500.0
406,Jakara Movement Club at Berkeley,SISG,Cultural & Identity/Cultural & Ethnic RSO,3,600.0
407,Jeeva Clinic,SISG,Service RSO,2,500.0
408,Kalanjiyam at Berkeley,SISG,Health & Wellness RSO,1,200.0
409,Kidney Disease Screening and Awareness Program,SISG,Service RSO,3,600.0
410,Korean Compassion at Berkeley,SISG,Service RSO,1,500.0
411,Labor Coach Program,SISG,Service RSO,9,200.0
412,Ladies for Change,SISG,Cultural & Identity/Women Interest RSO,3,290.0
413,Laotian American Student Representatives,SISG,Cultural & Identity/Cultural & Ethnic RSO,21,3700.0
414,Latinx Caucus,SISG,Cultural & Identity/Cultural & Ethnic RSO,8,1500.0
415,Let's Rise - Asian Mentorship Program,SISG,Service RSO,14,1290.0
416,Lobby Days Coalition at Berkeley,SISG,Political & Advocacy RSO,3,500.0
417,Medical Reallocation Initiative,SISG,Service RSO,1,500.0
418,MEDLIFE,SISG,Service RSO,9,750.0
419,Migrant Advocacy Project,SISG,Service RSO,1,500.0
420,MOVE: API Organizing Fellowship,SISG,Service RSO,3,600.0
421,National Council of Negro Women,SISG,Cultural & Identity/Women Interest RSO,13,2250.0
422,Oakland Asian Student Educational Services,SISG,Service RSO,17,5000.0
423,Patient Advocacy Student Group,SISG,Service RSO,8,1500.0
424,People's Test Preparation Service,SISG,Service RSO,23,3000.0
425,Project Vision,SISG,Service RSO,12,900.0
426,"Project Rishi, The Berkeley Chapter",SISG,Service RSO,12,1100.0
427,Project SCIFI,SISG,Service RSO,3,600.0
428,Project Spreading Multiculturalism and Inspiring Leadership through Education,SISG,Service RSO,11,4000.0
429,Queer Alliance & Resource Center,SISG,Cultural & Identity/LGBTQ+ RSO,51,25899.0
430,Renters' Legal Assistance,SISG,Service RSO,37,650.0
431,Rising Immigrant Scholars through Education - RISE,SISG,Service RSO,11,8000.0
432,Southeast Asian Mentorship,SISG,Service RSO,11,1200.0
433,Southeast Asian Prison Outreach Project,SISG,Political & Advocacy RSO,9,850.0
434,Southeast Asian Student Coalition,SISG,Cultural & Identity/Cultural & Ethnic RSO,13,10000.0
435,Spectrum: Autism at Cal,SISG,Political & Advocacy RSO,9,600.0
436,Student to Student Peer Counseling,SISG,Service RSO,27,820.0
437,Suitcase Clinic,SISG,Service RSO,21,12000.0
438,"Support, ENcourage and Develop for Children of Berkeley",SISG,Academic RSO,3,600.0
439,T-Cal,SISG,Health & Wellness RSO,1,116.0
440,Teach in Prison,SISG,Service RSO,10,3440.0
441,Team HBV,SISG,Health & Wellness RSO,13,650.0
442,The Berkeley Group,SISG,Professional RSO,17,3000.0
443,The Berkeley Project,SISG,Service RSO,13,1280.0
444,The Music Connection,SISG,Service RSO,3,500.0
445,The PERIOD Project at Berkeley,SISG,Political & Advocacy RSO,1,500.0
446,The Sage Mentorship Project,SISG,Service RSO,7,800.0
447,Theater for Charity,SISG,Performing Arts RSO,16,1600.0
448,Thrive Aspire Lead,SISG,Service RSO,3,450.0
449,Together Educating All Children in Hospitals,SISG,Service RSO,1,500.0
450,TRENZA,SISG,Cultural & Identity/Women Interest RSO,8,2500.0
451,UNICEF at Berkeley,SISG,Service RSO,17,80.0
452,V-Day at Berkeley,SISG,Political & Advocacy RSO,4,600.0
453,VIDA Medical Volunteer,SISG,Service RSO,3,600.0
454,Vietnamese Student Association,SISG,Cultural & Identity/International RSO,28,8000.0
455,Volunteer Health Interpreters Organization,SISG,Health & Wellness RSO,14,4500.0
456,Volunteer Income Tax Assistance Program,SISG,Service RSO,7,600.0
457,Volunteers Around the World at Berkeley,SISG,Service RSO,6,200.0
458,Volunteers for Medical Outreach,SISG,Service RSO,6,2200.0
459,You Mean More,SISG,Health & Wellness RSO,8,1500.0
460,Youth Empowerment Program,SISG,Service RSO,6,1850.0
461,Youth Support Program,SISG,Service RSO,24,800.0
