,Organization,Designation
512,Earthquake Engineering Research Institute at Berkeley,Academic RSO 
513,East Asian Union,Cultural & Identity/International RSO 
514,"E
East Bay Business and Medical Translation Association",Service RSO 
515,East Bay Dreamers Project,Service RSO 
516,East Coast Student Union,Cultural & Identity/Cultural & Ethnic RSO 
517,ecode,Technology RSO 
518,Ecology Law Quarterly,Publications RSO 
519,"E
Economists at Berkeley",Academic RSO 
520,Education Initiative for Development,Service Organization 
521,Education Practitioners and Innovators of China at Berkeley,Professional RSO 
522,EECS Graduate Student League,Recreational RSO 
523,Effective Altruists of Berkeley,Service RSO 
524,Eggster Organization,Service RSO 
525,EGO (Cal's Traditional Korean Percussion Group),Performing Arts RSO 
526,"E
Egyptian Student Association at Berkeley",Cultural & Identity/International RSO 
527,ElectionLaw@Boalt,Academic RSO 
528,"E
Electrical Engineering Graduate Student Association",Academic RSO 
529,Eleven: The Undergraduate Journal of Sociology,Publications RSO 
530,"E
Empowering Women of Color Conference",GA Government Project 
531,EnableTech,Professional RSO 
532,Enactus of Berkeley (formerly SIFE),Professional RSO 
533,Endocrinology Graduate Student Group,Academic RSO 
534,Energy and Resources Grad Students (ERGS),Academic Student Orgs 
535,"E
Energy and Resources Group Student Advocacy Committee for Equity and Inclusion",Academic RSO 
536,Engineering and Project Management Society,Professional RSO 
537,Engineering for Kids,Service RSO 
538,Engineering Student Council,Departmental RSO 
539,Engineering Wellness at Berkeley,Health & Wellness RSO 
540,Engineers and Mentors of Berkeley,Academic RSO 
541,Engineers For A Sustainable World -Berkeley,Environmental & Sustainability RSO 
542,Engineers in Action at Berkeley,Service RSO 
543,Engineers Without Borders at Berkeley,Service RSO 
544,English Undergraduate Association,Academic RSO 
545,Entomology Club,Academic RSO 
546,Entomology Students' Organization,Departmental RSO 
547,Entrepreneurs @ Berkeley,Professional RSO 
548,Environmental Conservation Outreach,Environmental & Sustainability RSO 
549,"E
Environmental Engineering Advocacy Team",Academic RSO 
550,Environmental Health Sciences Graduate Students,Environmental & Sustainability RSO 
551,Environmental Law Society @ Berkeley Law (formerly Boalt Environmental Law Society),Environmental & Sustainability RSO 
552,Environmental Sciences Student Association,Environmental & Sustainability RSO 
553,Environmental Team,Environmental & Sustainability RSO 
554,Epsilon Eta,Environmental & Sustainability RSO 
555,Epsilon Pi at Berkeley,Academic RSO 
556,ERG Online,Environmental & Sustainability RSO 
557,ESPM Graduate Diversity Council,Departmental RSO 
558,ESPM Graduate Student Association,Departmental RSO 
559,"E
ESPM Graduate Student Research Organizing Committee for the Symposium",Departmental RSO 
560,Eta Kappa Nu,Academic RSO 
561,Eta Omega Chi,Professional RSO 
562,EthiCAL Apparel,Environmental & Sustainability RSO 
563,Ethnic Studies 5th Account,ASUC Government Program 
564,Evangel Christian Fellowship,Spiritual RSO 
565,EXP Dance,Performing Arts RSO 
566,Expanding Your Horizons at Berkeley,Service RSO 
567,"E
eXperimental Computing Facility",Technology RSO 
568,Exposure-Organization of Student Photographers,Arts RSO 
569,Extended Reality at Berkeley (formerly known as Virtual Reality),Technology RSO 
570,EyeChat!,Professional RSO 
571,Faces of African Muslims Students,Spiritual RSO 
572,"F
Faculty Mentoring Award",GA Government Project 
573,"F
Falun Dafa Club @ Berkeley",Spiritual RSO 
574,"F
Families at BerkeleyLaw",Cultural & Identity/Cultural & Ethnic RSO 
575,Fashion and Student Trends,Arts RSO 
576,Fastpitch Softball at Berkeley,Recreational RSO 
577,Federalist Society at Berkeley Law,Political & Advocacy RSO 
578,FeelGood,Service RSO 
579,Fei Tian Dancers,Performing Arts RSO 
580,Fellowship in Christ in Berkeley,Spiritual RSO 
581,Feminist Majority Leadership Alliance of Berkeley,Political & Advocacy RSO 
582,FEMTech,Cultural & Identity/Women Interest RSO 
583,Fiat Lux Scholars Association (Formerly Cal Opportunity Scholars Association),Academic RSO 
584,Filipino & Philippine Studies Working Group,Academic RSO 
585,Financial Literacy and Economic Justice Conference,Professional RSO 
586,"F
Fintech at Berkeley",Professional RSO 
587,Fintech Investment Network,Technology RSO 
588,First Generation Professionals,Professional RSO 
589,First Love at Berkeley,Spiritual RSO 
590,"F
Fishing Club at Berkeley",Recreational RSO 
591,Flying at Berkeley,Recreational RSO 
592,Food Friendly Finance,Professional RSO 
593,Food Justice Project,Professional RSO 
594,Food Science and Tech at Cal,Academic RSO 
595,"Food, Equity, Entrepreneurship, & Development",Professional RSO 
596,For Christ's Sake,Performing Arts RSO 
597,Foresight Pre-Optometry Club,Academic RSO 
598,Formula Electric at Berkeley (Formerly bLoop),Technology RSO 
599,Formula SAE (Society of Automotive Engineers),Academic RSO 
600,Foster Education Project,Political & Advocacy RSO 
601,"Free Peach, The",Publications RSO 
602,Free Speech Club of Berkeley,Political & Advocacy RSO 
603,Free Ventures,Professional RSO 
604,"F
Friends of All Ages",Service RSO 
605,"F
Friends of Prajwala at Berkeley",Political & Advocacy RSO 
606,Friends of the Berkeley Free Clinic,Health & Wellness RSO 
607,Friends of the Co-ops,Cultural & Identity/Cultural & Ethnic RSO 
608,Friends of the Theatre,Performing Arts RSO 
609,"F
From Mothers to Mothers",Health & Wellness RSO 
610,Future Advancers of Science and Technology,Service RSO 
611,"Future Business Leaders of America-Phi Beta Lambda, Inc.",Professional RSO 
612,Future Surgeons of America Club,Professional RSO 
613,"G
GA Basic Needs Project",GA Government Project 
614,GA Berkeley Business Law Journal,Publications RSO 
615,GA Campus Affairs Vice President,GA Government Office 
616,"G
GA Commercial Revenues",GA Government Office 
617,"G
GA Contingency",GA Government Office 
618,"G
GA Development",GA Government Office 
619,"G
GA Disabled Students Advocacy Project",GA Government Project: Primary Advisor Dylan Howser
620,"G
GA Environmental Sustainability Project",GA Government Project 
621,"G
GA Executive Board",GA Government Office 
622,"G
GA External Affairs Vice President",GA Government Office 
623,GA Funding,GA Government Office 
624,"G
GA Funding Committee Chair",GA Government Office 
625,"G
GA Graduate Events",GA Government Office 
626,"G
GA Graduate Meetings, Events, and Resources",GA Government Office 
627,"G
GA Graduate Mentoring Project",GA Government Office 
628,"G
GA Graduate Student Advocate",GA Government Office 
629,"G
GA Grants",GA Government Office 
630,"G
GA Group Resources",GA Government Office 
631,GA Internal Vice President,GA Government Office 
632,"G
GA IT",GA Government Office 
633,"G
GA Management",GA Government Office 
634,"G
GA Misc. Activities Account",GA Government Office 
635,GA Operating / Business Office,GA Government Office 
636,GA President,GA Government Office 
637,"G
GA Projects",GA Government Office 
638,"G
GA Publication",GA Government Office 
639,"G
GA Reserves",GA Government Office 
640,GA Rules Officer,GA Government Office 
641,"G
GA Training Organization TESTING ONLY",GA Government Office 
642,"G
GA Travel Award",Inactive Page
643,"G
GA Travel Funds (branch of GA Funding)",GA Government Office 
644,"G
GA Unallocated Budget",GA Government Office 
645,"G
GA Vice President of Finance",GA Government Office 
646,"G
GA VP of Equity and Inclusion",GA Government Office 
647,"G
GA Working Groups Group",GA Government Office 
648,Game Design and Development at Berkeley (Formerly GameCraft),Recreational RSO 
649,Gaming at Berkeley,Recreational RSO 
650,Gamma Phi Beta,CalGreeks Panhellenic Council (PHC) Sororities 
651,Gamma Rho Lambda,CalGreeks Multicultural Greek Council (MCGC) Fraternities & Sororities 
652,"Gamma Zeta Alpha Fraternity, Inc.",CalGreeks Multicultural Greek Council (MCGC) Fraternities & Sororities 
653,Garb,Publications RSO 
654,GATES MILLENNIUM SCHOLARS ASSOCIATION,Service RSO 
655,GenSex (formerly FemSex),Cultural & Identity/Women Interest RSO 
656,GeoEngineering Graduate Student Association at Berkeley,Academic RSO 
657,"G
Geography Group on Gender and Difference",Academic RSO 
658,Geological Association at Berkeley,Departmental RSO 
659,GeoWall at Berkeley,Academic RSO 
660,"G
German Grad Film Club",Academic RSO 
661,Gia Magazine,Publications RSO 
662,GiANT Filmmakers,Media & Film RSO 
663,Gift of Life at Berkeley,Health & Wellness RSO 
664,Gifts at Berkeley,Arts RSO 
665,Gill Tract Farm Student Coalition,Environmental & Sustainability RSO 
666,Girl Up,Cultural & Identity/Women Interest RSO 
667,"G
Girls Teaching Girls to Code at Berkeley",Technology RSO 
668,Global Business Brigades at Berkeley,Service RSO 
669,Global Citizen,Publications RSO 
670,Global Corporate Law at Berkeley (Formerly Boalt Global Corporate Law Society),Academic RSO 
671,Global Health Brigades at Berkeley,Service RSO 
672,Global Leadership Organization at Berkeley,Service RSO 
673,Global Medical Missions Alliance at Berkeley,Service RSO 
674,Global Medical Training,Service RSO 
675,Global Physical Therapy at Berkeley,Professional RSO 
676,Globalmed,Publications RSO 
677,GlobeMed at Berkeley,Political & Advocacy RSO 
678,Golden Records,Professional RSO 
679,"Golden, The (formerly Golden Women)",Performing Arts RSO 
680,"G
Grads in Germanics",Academic RSO 
681,Graduate Architecture Student Union,Departmental RSO 
682,"G
Graduate Assembly",GA Government Office 
683,"G
Graduate Assembly Governance Workgroup (GA GWG)",GA Government Office 
684,"G
Graduate Assembly of Students in Psychology",Departmental RSO 
685,"G
Graduate Economics Association",Departmental RSO 
686,"G
Graduate Geographers of Berkeley",Departmental RSO 
687,"G
Graduate Global Development",GA Government Office 
688,"G
Graduate Minority Outreach Recruitment and Retention",GA Government Project 
689,"G
Graduate Minority Student Project",GA Government Project 
690,Graduate School of Education Research Day Organizational Committee,Departmental RSO 
691,"G
Graduate School of Education Student Association",Departmental RSO 
692,Graduate Social Club,GA Government Office 
693,"G
Graduate Student Parent Advocacy",GA Government Project 
694,"G
Graduate Student Wellness Project",GA Government Project 
695,Graduate Students de la Raza,Cultural & Identity/Cultural & Ethnic RSO 
696,Graduate Women of Engineering,Cultural & Identity/Women Interest RSO 
697,"G
Graduate Women's Project",GA Government Project 
698,Grant a Wish at Berkeley,Service RSO 
699,Greeks Against Sexual Assault at Berkeley (GASA),CalGreeks Fraternity & Sorority Support Organizations 
700,Greening the Greeks,CalGreeks Fraternity & Sorority Support Organizations 
701,"G
GroTech @ Berkeley",Technology RSO 
702,Ground Up Journal,Publications RSO 
703,Gun Violence Prevention Project,Professional RSO 
704,Haas Business School Association,Academic RSO 
705,Haas Undergraduate Black Business Association,Professional RSO 
706,Hack the Bay,Technology RSO 
707,"H
Hands and Feet",Service RSO 
708,Happy Period at Berkeley,Service RSO 
709,Health and Medical Apprenticeship Program,Health & Wellness RSO 
710,Health Coaching at Berkeley,Health & Wellness RSO 
711,Health Guardians of Berkeley,Academic RSO 
712,Health Leads at Berkeley,Service RSO 
713,Health Solutions of Berkeley,Service RSO 
714,Healthcare & Biotech Law Society [Formerly Boalt Healthcare & Biotech Law Society],Academic RSO 
715,"H
Healthcare Business Association at Berkeley",Professional RSO 
716,Healthcare Consulting Group at Berkeley,Professional RSO 
717,Heart Chan at Berkeley,Spiritual RSO 
718,Heartfulness at Berkeley,Health & Wellness RSO 
719,"H
Helios Solar Program",ASUC Chartered Program 
720,Helix @ Berkeley,Service RSO 
721,Hellenic Student Association at Berkeley,Cultural & Identity/International RSO 
722,Hep B Project,Service RSO 
723,Her Campus of Berkeley,Media RSO 
724,Hermanas Unidas de UC Berkeley,Cultural & Identity/Cultural & Ethnic RSO 
725,Hermanos Unidos,Cultural & Identity/Cultural & Ethnic RSO 
726,"Heuristic Squelch, The",Publications RSO 
727,Hidden Road Initiative,Service RSO 
728,Hillel Student Board at Berkeley,Spiritual RSO 
729,Hispanic Engineers and Scientists,Academic RSO 
730,Historical Fencing Club of Berkeley,Recreational RSO 
731,History Graduate Association,Academic RSO 
732,Hmong Student Association at Berkeley,Cultural & Identity/International RSO 
733,Home of Students Christian Fellowship,Spiritual RSO 
734,"H
Homeless Ministry at Berkeley",Service RSO 
735,"H
Homelessness Service Project",Service RSO 
736,Hong Kong Affairs Association of Berkeley,Political & Advocacy RSO 
737,Hong Kong Student Association,Cultural & Identity/International RSO 
738,"H
Hub for Equity and Administrative Representation",Academic RSO 
739,Human Powered Vehicle,Academic RSO 
740,"H
Human Rights Review at Berkeley",Publications RSO 
741,Humans of Berkeley,Media & Film RSO 
742,"I
I-Clicker Rental Program",ASUC Government Program 
743,IDEA Factory,Academic RSO 
744,"Idealist Journal, The",Publications RSO 
745,Identity and Gender Spectrum,Cultural & Identity/LGBTQ+ RSO - Advised by Anthony Garrison
746,"I
IEEE Power and Energy at Berkeley",Academic RSO 
747,IEEE Student Branch,Academic RSO 
748,"I
IEOR Graduate Student Group (formerly Student INFORMS)",Academic RSO 
749,If/When/How: Lawyering for Reproductive Justice at Berkeley,Political & Advocacy RSO 
750,"I
iGEM at Berkeley",Academic/Tech
751,"I
Ignite Ministries",Spiritual RSO 
752,Improv4Charity,Service RSO 
753,Indian Students Association,Cultural & Identity/International RSO 
754,Indigenous and Native Coalition (INC) Recruitment and Retention Center,Sponsored - bridges 
755,Information Management Student Association,Departmental RSO 
756,Innovate at Berkeley,Technology RSO 
757,Innovative Design,ASUC Chartered Program 
758,InnoWorks of Berkeley,Service RSO 
759,Inside the Living Room,Service RSO 
760,Institute of Industrial and Systems Engineers,Academic RSO 
761,Institute of Transportation Engineers at Berkeley,Academic RSO 
762,"I
Integrative Biology Graduate Student Association",Departmental RSO 
763,Intercollegiate Finance Journal at Berkeley,Publications RSO 
764,InterCP,Spiritual RSO 
765,Interfraternity Council (IFC),CalGreeks Fraternity & Sorority Support Organizations 
766,"Intermission Orchestra, The",Performing Arts RSO 
767,"I
International & Undocumented Student Project (GA Project)",GA Government Project 
768,International Building Performance Simulation Association/ASHRAE Berkeley,Professional RSO 
769,"I
International Consulting Club at Berkeley",Professional RSO 
770,International Family Union,Service RSO 
771,International Graduate Student Ministry,Spiritual RSO 
772,International Human Rights Workshop,Service RSO 
773,International Refugee Assistance Project at Berkeley Law,Political & Advocacy RSO 
774,International Relations Council of Berkeley,Professional RSO 
775,International Service Club,Service RSO 
776,International Society for Pharmaceutical Engineering,Academic RSO 
777,International Students Association at Berkeley,Cultural & Identity/International RSO 
778,International Undergraduate Student Ministry,Spiritual RSO 
779,International Youth and Students for Social Equality,Political & Advocacy RSO 
780,Interstitials MSE Mentoring Program,Academic RSO 
781,Intertribal Student Council,Cultural & Identity/Cultural & Ethnic RSO 
782,InterVarsity Christian Fellowship,Spiritual RSO 
783,INvent,Technology RSO 
784,Invention Corps of Berkeley,Technology RSO 
785,"Iota Sigma Pi, Hydrogen Chapter",Professional RSO 
786,Iranian Student Association in America,Cultural & Identity/International RSO 
787,Iranian Students Cultural Organization,Cultural & Identity/Cultural & Ethnic RSO 
788,Irish Dancers of Berkeley,Recreational RSO 
789,Ismailis at Berkeley,Spiritual Organization 
790,Italian Society at Berkeley,Cultural & Identity/International RSO 
791,Iu-Mien Student Union,Cultural & Identity/International RSO 
792,Jain Students Association,Spiritual RSO 
793,Jakara Movement Club at Berkeley,Cultural & Identity/Cultural & Ethnic RSO 
794,Jeeva Clinic,Service RSO 
795,"J
Jehovah's Witnesses at Berkeley",Spiritual RSO 
796,Jericho!,Performing Arts RSO 
797,"J
Jewish Students Association at Berkeley Law",Professional RSO 
798,Jewish Voice for Peace at Berkeley,Political & Advocacy RSO 
799,Jews of Color Collective,Cultural & Identity/Cultural & Ethnic RSO 
800,Jugger at Berkeley,Recreational RSO 
801,Jurisbrewdence,Recreational RSO 
802,K-Popular at Berkeley,Cultural & Identity/Cultural & Ethnic RSO 
803,Kairos Dance Co.,Performing Arts RSO 
804,Kalanjiyam at Berkeley,Health & Wellness RSO 
805,Kappa Alpha Order,CalGreeks Interfraternity Council (IFC) Fraternities 
806,Kappa Alpha Pi Pre-Law Fraternity,Professional RSO 
807,"Kappa Alpha Psi Fraternity, Inc.",CalGreeks National Pan-Hellenic Council (NPHC) Fraternities & Sororities 
808,Kappa Alpha Theta,CalGreeks Panhellenic Council (PHC) Sororities 
809,"K
Kappa Delta Rho",CalGreeks Interfraternity Council (IFC) Fraternities 
810,Kappa Gamma Delta,Professional RSO 
811,Kappa Kappa Gamma,CalGreeks Panhellenic Council (PHC) Sororities 
812,Kappa Sigma,CalGreeks Interfraternity Council (IFC) Fraternities 
813,Kendo Club,Recreational RSO 
814,Kidney Disease Screening and Awareness Program,Service RSO 
815,Kids in Nutrition,Service RSO 
816,Kink Club,Health & Wellness RSO 
817,Klesis,Spiritual RSO 
818,Knights of the Square Table,Recreational RSO 
819,Koinonia Campus Fellowship,Spiritual RSO 
820,Kojobs at Berkeley,Professional RSO 
821,Korea Campus Crusade for Christ,Spiritual RSO 
822,Korean American Student Association,Cultural & Identity/Cultural & Ethnic RSO 
823,"K
Korean Business Organization",Professional RSO 
824,"K
Korean Christian Biblical & Theological Studies (Originally ""BCPC"")",Spiritual RSO 
825,Korean Compassion at Berkeley,Service RSO 
826,Korean Performance Group,Performing Arts RSO 
827,Korean Undergraduate Networking Association,Professional RSO 
828,Korean-American Scientists and Engineers Association (Silicon Valley Chapter),Academic RSO 
829,KOSMOS,Performing Arts RSO 
830,"L
La Campanella",Spiritual RSO 
831,La Dolce Vita Italian Studies Club,Cultural & Identity/International RSO 
832,La Fe - IVCF,Spiritual RSO 
833,"L
La Raza Law Journal",Publications RSO 
834,La Raza Law Students Association,Cultural & Identity/Cultural & Ethnic RSO 
835,"L
La Raza Workers' and Tenants' Rights Clinic",Service RSO 
836,Labor Coach Program,Service RSO 
837,Ladies for Change,Cultural & Identity/Women Interest RSO 
838,"Lambda Theta Alpha Latin Sorority, Inc.",CalGreeks Multicultural Greek Council (MCGC) Fraternities & Sororities 
839,"Lambda Theta Nu Sorority, Inc.",CalGreeks Multicultural Greek Council (MCGC) Fraternities & Sororities 
840,"Lambda Theta Phi, Latin Fraternity, Inc.",CalGreeks Multicultural Greek Council (MCGC) Fraternities & Sororities 
841,"Lambda Upsilon Lambda Fraternity, Inc.",CalGreeks Multicultural Greek Council (MCGC) Fraternities & Sororities 
842,Laotian American Student Representatives,Cultural & Identity/Cultural & Ethnic RSO 
843,Latin American Leadership Society,Cultural & Identity/Cultural & Ethnic RSO 
844,Latino Business Student Association,Academic RSO 
845,Latino/a Association of Graduate Students in Engineering and Science,Cultural & Identity/Cultural & Ethnic RSO 
846,Latinx Caucus,Cultural & Identity/Cultural & Ethnic RSO 
847,Latinx Pre-Law Society,Professional RSO 
848,Launchpad,Technology RSO 
849,Laundry Love Project,Spiritual RSO 
850,Law and Political Economy Society of Berkeley,Academic RSO 
851,"L
Law and Society Graduate Association",Professional RSO 
852,Law Students for Justice in Palestine,Political & Advocacy RSO 
853,Law Students of African Descent,Cultural & Identity/Cultural & Ethnic RSO 
854,Laya of Berkeley,Performing Arts RSO 
855,LDS Student Association,Spiritual RSO 
856,Le Cercle Français of Berkeley,Cultural & Identity/International RSO 
857,"L
lead center test group 17",Service RSO 
858,Learning Enterprises at Berkeley,Service RSO 
859,"L
Legal Automation Workshop",Service RSO 
860,Legends of Berkeley,Recreational RSO 
861,Let's Rise - Asian Mentorship Program,Service RSO 
862,Liberty in North Korea at Berkeley,Political & Advocacy RSO 
863,"L
Light Electric Vehicles at Berkeley",Technology RSO 
864,Lindy On Sproul,Performing Arts RSO 
865,Linguaphile Student Association,Professional RSO 
866,Live Poets Society,Arts RSO 
867,"L
Local Service Club",Service RSO 
868,Logging Sports Team,Recreational RSO 
869,Love Your Melon Campus Crew at Berkeley,Service RSO 
870,"L
Lower Sproul Referendum",ASUC Government Office 
871,LW Passion Fellowship,Spiritual RSO 
872,Macau Student Association,Cultural & Identity/International RSO 
873,Machine Learning at Berkeley,Technology RSO 
874,maganda magazine,Publications RSO 
875,"M
Magic Club, The",Performing Arts RSO 
876,Maimonides,Cultural & Identity/Cultural & Ethnic RSO 
877,Main Stacks Dance Team,Performing Arts RSO 
878,Malaysian Student Association at Berkeley,Cultural & Identity/International RSO 
879,Management Consulting Club at Berkeley,Professional RSO 
880,"Management, Entrepreneurship & Technology Student Board",Departmental RSO 
881,March of Dimes Collegiate Council,Service Organization 
882,Mariachi Luz de Oro,Performing Arts RSO 
883,Market Diagnosis Group at Berkeley,Professional RSO 
884,Materials Science and Engineering Association,Departmental RSO 
885,Materials Science and Engineering Graduate Student Council,Departmental RSO 
886,Math Tournament at Berkeley,Academic RSO 
887,Mathematics Graduate Students Association,Departmental RSO 
888,Mathematics Undergraduate Student Association,Academic RSO 
889,Matriculate,Service RSO 
890,Maya at UC Berkeley,Performing Arts RSO 
891,"M
MBA Association",Academic RSO 
892,"M
Mechanical Engineering Graduate Student Council",Academic RSO 
893,"M
Medical Division at the Suitcase Clinic",Service RSO 
894,Medical Reallocation Initiative,Service RSO 
895,Medical Technology at Berkeley,Technology RSO 
896,"M
Meditative Arts (MA)",Spiritual RSO 
897,MEDLIFE,Service RSO 
898,Mexican Association of Students at Berkeley,Cultural & Identity/International RSO 
899,Microbial Biology Graduate Student Group,Academic RSO 
900,Microbial Sciences Association,Academic RSO 
901,Microfinance at Berkeley,Service RSO 
902,Middle Eastern and North African Law Students Association [Formerly Middle Eastern Law Students Association],Cultural & Identity/International RSO 
903,Middle Eastern Business Association,Professional RSO 
904,Middle Eastern North African Recruitment and Retention Center,Sponsored - bridges 
905,Migrant Advocacy Project (Formerly Rebuild with Refugees),Service RSO 
906,Military and Veterans at Berkeley Law,Professional RSO 
907,Mind Body Nutrition: Students for Integrative and Preventive Medicine,Health & Wellness RSO 
908,Mindfulness at Berkeley,Health & Wellness RSO 
909,Minecraft at Berkeley,Recreational RSO 
910,Minorities in Health Conference,Professional RSO 
911,Minority Association of Pre-Medical Students,Professional RSO 
912,Mixed @ Berkeley Recruitment and Retention Center - MRRC (formerly Mixed Student Union - MSU),Sponsored - bridges 
913,Mobile Developers of Berkeley,Technology RSO 
914,Molecular and Cell Biology Cell Developmental Neurobiological Association,Departmental RSO 
915,Molecular Cell Biology Graduate Student Organization,Departmental RSO 
916,Molecular Cell Biology Undergraduate Student Association,Departmental RSO 
917,Mongolian Student Association,Cultural & Identity/Cultural & Ethnic RSO 
918,Mood Psychology at Berkeley,Academic RSO 
919,Morning Sign Out,Publications RSO 
920,MOVE: API Organizing Fellowship,Service RSO 
921,"Movement, The",Performing Arts RSO 
922,Multi-Cultural Greek Council,CalGreeks Multicultural Greek Council (MCGC) Fraternities & Sororities 
923,Multicultural Advocates in Political Science (MAPS) (Formerly Minorities Associated in Political Science),Political & Advocacy RSO 
924,"M
Museum of Tomorrow at Berkeley",Environmental & Sustainability RSO 
925,"Music Connection, The",Service RSO 
926,"M
Music Meditation Club",Health & Wellness RSO 
927,Muslim Student Association,Spiritual RSO 
928,Muxeres Activas en Letras y Cambio Social at Berkeley,Academic RSO 
929,"M
Mycology Club at Berkeley",Environmental & Sustainability RSO 
930,"NAACP - University of California, Berkeley",Political & Advocacy RSO 
931,"N
NALA Project at Berkeley",Service RSO 
932,"N
Name and Gender Change Workshop",Service RSO 
933,NAMI on Campus at Berkeley,Health & Wellness RSO 
934,Naos House of Prayer,Spiritual RSO 
935,National Association of Black Journalists,Professional RSO 
936,National Council of Negro Women,Cultural & Identity/Women Interest RSO 
937,"National Lawyers Guild, Berkeley Law Chapter",Professional RSO 
938,National Optometric Student Association,Departmental RSO 
939,National Organization for Women,Cultural & Identity/Women Interest RSO 
940,National Pan-Hellenic Council,CalGreeks Fraternity & Sorority Support Organizations 
941,"N
National School Project at Berkeley",Spiritual RSO 
942,National Society of Leadership and Success- Sigma Alpha Pi,Professional RSO 
943,"N
Native American Law Students Association",Professional RSO 
944,"N
Native American Studies",Campus Department
945,Natya at Berkeley,Performing Arts RSO 
946,Navy ROTC Wardroom,Departmental RSO 
947,Nazakat at Berkeley,Performing Arts RSO 
948,Nepalese Student Association,Cultural & Identity/International RSO 
949,Net Impact at Berkeley,Professional RSO 
950,NeuroScience Club at Berkeley,Professional RSO 
951,Neurotechnology at Berkeley,Technology RSO 
952,New Beginning Academics Student Association,Academic RSO 
953,Next Generation Consulting at Berkeley,Professional RSO 
954,Nigerian Students Association,Cultural & Identity/International RSO 
955,Nikkei Choral Ensemble,Performing Arts RSO 
956,Nikkei Student Union,Cultural & Identity/International RSO 
957,"N
Not Left, Not Right, Forward",Political & Advocacy RSO 
958,Nuclear Engineering Design Collaborative,Academic RSO 
959,Nuclear Policy Working Group,Academic RSO 
960,"N
Nukids Nubies",Service RSO 
961,Nurturing Infants and Care for the Underrepresented,Service Student Orgs - Advised by Millicent Morris
962,NutrigenomX at Berkeley,Academic RSO 
963,Oakland Asian Student Educational Services,Service RSO 
964,"O
Office of Student Development",No Response
965,Older Wiser Law Students of Berkeley,Professional RSO 
966,Olive Tree Initiative,Sponsored RSO 
967,"Omega Phi Beta Sorority, Inc.",CalGreeks Multicultural Greek Council (MCGC) Fraternities & Sororities 
968,"Omniscient Tutor, The",Media & Film RSO 
969,Open Air,Spiritual RSO 
970,Open Computing Facility,ASUC Government Program 
971,Opportunity Through Data,Technology RSO 
972,Optimir Consulting,Professional RSO 
973,Optometric Business Management Club of Berkeley (formerly known as Private Practice Club of Berkeley),Professional RSO 
974,Optometric Student Association,Departmental RSO 
975,Optometry Class of 2020 at Berkeley,Departmental RSO 
976,Optometry Class of 2021 at Berkeley,Departmental RSO 
977,Optometry Class of 2022 at Berkeley,Departmental RSO 
978,Optometry Class of 2023 at Berkeley (formerly Optometry Class of 2019),Departmental RSO 
979,Organization of Jewish Graduate Students,Cultural & Identity/Cultural & Ethnic RSO 
980,"O
Organizations Research Group",Academic RSO 
981,Orthodox Christian Fellowship at Berkeley,Spiritual RSO 
982,Out for Business at Berkeley,Cultural & Identity/LGBTQ+ RSO 
983,"Out in Science, Technology, Engineering, and Mathematics",Cultural & Identity/LGBTQ+ RSO 
984,Outlet,Arts RSO 
985,Overwatch at Berkeley,Recreational RSO 
986,OWN IT at Berkeley,Cultural & Identity/Women Interest RSO 
987,Pakistani Student Association,Cultural & Identity/International RSO 
988,Panhellenic Council (PHC),CalGreeks Fraternity & Sorority Support Organizations 
989,Paper Crane,Arts RSO 
990,Paragon Consulting at Berkeley,Professional RSO 
991,"P
Parliamentary Debate at Berkeley",Academic RSO 
992,Partners In Health Engage at Berkeley,Service RSO 
993,Partnership for Pre-Professional Pilipinxs,Professional RSO 
994,"P
Partnerships Across the Decades",Service RSO 
995,Patent Law Society,Professional RSO 
996,PATH to Care Center Peer Educators,Health & Wellness RSO 
997,Patient Advocacy Student Group,Service RSO 
998,Paving an Accessible Trail to Higher Education,Service RSO 
999,Peer Health Exchange,Service RSO 
1000,Peer Wellness Coalition,Health & Wellness RSO 
1001,"Peers Espousing Amiability, Cooperation, and Education",Service RSO 
1002,Pencil to Paper,Service RSO 
1003,People's Park Solidarity Committee,Political & Advocacy RSO 
1004,People's Test Preparation Service,Service RSO 
1005,Perennial : The Undergraduate Environmental Journal of Berkeley,Publications RSO 
1006,Performance Studies Research Collective,Departmental RSO 
1007,"PERIOD Project at Berkeley, The",Political & Advocacy RSO 
1008,"P
Personal Computer Master Race at Berkeley",Technology RSO 
1009,Perspective Magazine,Publications RSO 
1010,Phalanx: Pre-Medical Consulting,Academic RSO 
1011,"P
PhD Consulting Club at Berkeley",Academic RSO 
1012,"Phi Alpha Delta Law Fraternity, International",Professional RSO 
1013,Phi Alpha Theta,Academic RSO 
1014,"Phi Beta Sigma, Fraternity Incorporated",CalGreeks National Pan-Hellenic Council (NPHC) Fraternities & Sororities 
1015,Phi Chi Pre-Health Fraternity,Professional RSO 
1016,Phi Delta Epsilon,Professional RSO 
1017,Phi Delta Theta,CalGreeks Interfraternity Council (IFC) Fraternities 
1018,Phi Kappa Psi,CalGreeks Interfraternity Council (IFC) Fraternities 
1019,"P
Phi Kappa Sigma",CalGreeks Interfraternity Council (IFC) Fraternities 
1020,Phi Kappa Tau,CalGreeks Interfraternity Council (IFC) Fraternities 
1021,Phi Sigma Rho,CalGreeks Multicultural Greek Council (MCGC) Fraternities & Sororities 
1022,Philosophy Forum,Academic RSO 
