,Year,Organization,Type,Standing,Allocation
903,2014,Asha for Education,SAG,10.0,"$1,000.00"
904,2014,Asian American Association,SAG,17.0,"$8,000.00"
905,2014,Asian American Christian Fellowship,SAG,1.0,$200.00
906,2014,Asian American Public Leaders,SAG,2.0,$400.00
907,2014,Asian Pacific American Coalition,SAG,15.0,"$1,300.00"
908,2014,Association for Muslim Professional Development,SAG,8.0,"$1,400.00"
909,2014,Azaad,SAG,2.0,$400.00
910,2014,Ballet Company at Berkeley,SAG,3.0,$400.00
911,2014,Ballet Folklorico Reflejos de Mexico,SAG,2.0,$400.00
912,2014,"BAMN - Coalition to Defend Affirmative Action, Integration, and Immigrant Righ",SAG,16.0,"$2,700.00"
913,2014,Berkeley Ballroom,SAG,11.0,$0.00
914,2014,Berkeley Business Society (formerly International Association of Business Comm,SAG,8.0,$750.00
915,2014,Berkeley Carillon Guild,SAG,11.0,$400.00
916,2014,Berkeley College Republicans,SAG,19.0,"$3,500.00"
917,2014,Berkeley Consulting,SAG,15.0,$800.00
918,2014,Berkeley Environmental Economics and Policy Students,SAG,2.0,$110.00
919,2014,Berkeley Forum,SAG,3.0,$600.00
920,2014,Berkeley Group,SAG,12.0,$900.00
921,2014,Berkeley Legal Studies Association,SAG,15.0,$150.00
922,2014,Berkeley Organization for Animal Advocacy,SAG,15.0,$900.00
923,2014,Berkeley Students for Life,SAG,16.0,"$1,000.00"
924,2014,Berkeley Women in Business,SAG,12.0,$300.00
925,2014,BERKOP - Berkeley Opinion,SAG,1.0,$200.00
926,2014,Bioengineering Association of Students,SAG,1.0,$0.00
927,2014,Black Political Law Association,SAG,1.0,$200.00
928,2014,Black Student Union,SAG,5.0,"$1,000.00"
929,2014,Cal Actuarial League,SAG,10.0,$500.00
930,2014,Cal Animage Alpha,SAG,4.0,$370.00
931,2014,Cal Berkeley Democrats,SAG,17.0,"$3,400.00"
932,2014,Cal Dragon Boat,SAG,10.0,"$1,200.00"
933,2014,Cal Hiking and Outdoors Society - CHAOS,SAG,65.0,"$1,060.00"
934,2014,Cal in the Capital,SAG,37.0,"$1,800.00"
935,2014,Cal Japan Club,SAG,7.0,$500.00
936,2014,Cal Opportunity Scholars Association,SAG,1.0,$200.00
937,2014,Cal Pre-Vet Club,SAG,5.0,$210.00
938,2014,Cal Set Design,SAG,1.0,$200.00
939,2014,Cal Slam,SAG,11.0,$700.00
940,2014,Cal Taiko,SAG,10.0,"$2,700.00"
941,2014,Cal Undergraduate Public Health Coalition,SAG,11.0,"$1,180.00"
942,2014,California Mock Trial,SAG,15.0,"$20,000.00"
943,2014,Californians,SAG,12.0,"$2,400.00"
944,2014,Californium Brewing and Winemaking,SAG,1.0,$150.00
945,2014,Catholic Students at Cal- Newman Hall,SAG,3.0,$500.00
946,2014,CEE Joint Fundraising Committee,SAG,1.0,$0.00
947,2014,Chi Epsilon,SAG,17.0,$0.00
948,2014,Chinese A Cappella at Berkeley,SAG,1.0,$200.00
949,2014,Chinese People Union,SAG,11.0,"$1,100.00"
950,2014,Chinese Student Association,SAG,25.0,"$3,000.00"
951,2014,Christian Medical and Dental Associations Chapter at Berkeley,SAG,2.0,$70.00
952,2014,Chun Jin Ahm,SAG,1.0,$0.00
953,2014,Circle K International,SAG,20.0,"$3,500.00"
954,2014,Cognitive Science Students Association,SAG,16.0,$500.00
955,2014,Committee for Korea Studies,SAG,10.0,$500.00
956,2014,Common Cause/Democracy Matters of Berkeley,SAG,3.0,$235.00
957,2014,Company,SAG,1.0,$200.00
958,2014,Computer Science Undergraduate Association,SAG,40.0,"$1,700.00"
959,2014,Conscious Network (formerly Conscious Living Collective),SAG,2.0,$130.00
960,2014,Conservation & Resource Studies Student Organization,SAG,5.0,$500.00
961,2014,Creative Applications to Life in Origami,SAG,5.0,$230.00
962,2014,Creative Marketing Group,SAG,2.0,$400.00
963,2014,Crossroads Christian Fellowship,SAG,6.0,$400.00
964,2014,Curling Club at Berkeley,SAG,2.0,$400.00
965,2014,Danceworx,SAG,18.0,"$1,600.00"
966,2014,Danza In Xochitl in Cuicatl,SAG,2.0,$400.00
967,2014,Data Science Collaborative at Berkeley,SAG,1.0,$200.00
968,2014,DeCadence,SAG,15.0,$700.00
969,2014,Delta Kappa Alpha,SAG,1.0,$200.00
970,2014,Delta Phi Epsilon Co-ed Professional Foreign Service Fraternity,SAG,12.0,$500.00
971,2014,Department of Integrative Biology Students,SAG,1.0,$100.00
972,2014,Design for America,SAG,3.0,$600.00
973,2014,"Dil Se, UC Berkeley",SAG,6.0,$600.00
974,2014,East Asian Langauges & Cultures Undergraduate Student Association,SAG,5.0,$200.00
975,2014,East Asian Union,SAG,4.0,$800.00
976,2014,Education Undergraduates,SAG,8.0,$200.00
977,2014,Educational Opportunity Program Student Association,SAG,2.0,$350.00
978,2014,EFC Chinese Fellowship,SAG,1.0,$200.00
979,2014,Eggster Organization,SAG,14.0,"$1,600.00"
980,2014,EGO: UC Berkeley's Korean Traditional Percussion Group,SAG,4.0,$800.00
981,2014,Engineering Student Council *,SAG,22.0,"$30,000.00"
982,2014,English Undergraduate Association,SAG,9.0,$100.00
983,2014,ESPR at Berkeley,SAG,1.0,$120.00
984,2014,Everybody Dance Now! Berkeley,SAG,1.0,$200.00
985,2014,Fashion and Student Trends,SAG,3.0,$600.00
986,2014,Fei Tian Dancers,SAG,11.0,$500.00
987,2014,Fellowship in Christ Berkeley,SAG,9.0,$300.00
988,2014,Foresight Pre-Optometry Club,SAG,23.0,"$1,068.00"
989,2014,Formula SAE,SAG,2.0,$0.00
990,2014,"Future Business Leaders of America - Phi Beta Lambda, Inc",SAG,10.0,"$1,600.00"
991,2014,Go Game at Berkeley,SAG,2.0,$400.00
992,2014,Haas Undergraduate Black Business Association,SAG,8.0,$0.00
993,2014,Health in All Policies,SAG,1.0,$200.00
994,2014,Hindu Students Council,SAG,7.0,"$1,250.00"
995,2014,Hong Kong Student Association,SAG,22.0,"$1,200.00"
996,2014,Horn of Africa Student Association (formerly Ethiopian Student Union),SAG,19.0,"$1,000.00"
997,2014,Human Rights of the Incarcerated Coalition @ Cal,SAG,2.0,$250.00
998,2014,Humans of Berkeley,SAG,1.0,$200.00
999,2014,Indian Students Association,SAG,11.0,"$7,000.00"
1000,2014,INDUS,SAG,26.0,"$10,000.00"
1001,2014,Ink At Berkeley,SAG,1.0,$200.00
1002,2014,Institute of Transportation Engineers at Berkeley,SAG,8.0,$0.00
1003,2014,International Fraternity of Delta Sigma Pi,SAG,9.0,"$1,600.00"
1004,2014,International Justice Mission Campus Chapter at Berkeley,SAG,4.0,$300.00
1005,2014,International Socialist Organization,SAG,2.0,$300.00
1006,2014,International Students' Advisory Committee,SAG,2.0,$400.00
1007,2014,International Students Association at Berkeley,SAG,14.0,$750.00
1008,2014,International Youth and Students for Social Equality,SAG,2.0,$400.00
1009,2014,InterVarsity Christian Fellowship,SAG,16.0,"$3,200.00"
1010,2014,Investment Banking Student Association of Berkeley,SAG,1.0,$200.00
1011,2014,Iranian Student Alliance in America,SAG,11.0,$500.00
1012,2014,Iranian Student Cultural Organization,SAG,18.0,"$2,200.00"
1013,2014,Irish Dancers of Berkeley,SAG,1.0,$70.00
1014,2014,Italian International Student Association,SAG,14.0,$800.00
1015,2014,Jericho!,SAG,9.0,$650.00
1016,2014,Jewish Student Union,SAG,37.0,"$13,000.00"
1017,2014,Kairos Christian Fellowship,SAG,7.0,$700.00
1018,2014,Kappa Gamma Delta,SAG,12.0,"$1,100.00"
1019,2014,Kendo Club,SAG,1.0,$200.00
1020,2014,Klesis,SAG,3.0,$600.00
1021,2014,Koinonia Christian Fellowship,SAG,10.0,$450.00
1022,2014,Korean American Student Association,SAG,33.0,"$4,500.00"
1023,2014,Korean-American Scientists and Engineers Association,SAG,3.0,$600.00
1024,2014,K-Popular at Berkeley,SAG,4.0,$800.00
1025,2014,Latino Pre-Law Society,SAG,12.0,"$1,200.00"
1026,2014,Law In Practice,SAG,2.0,$200.00
1027,2014,League of Legends at Berkeley,SAG,1.0,$200.00
1028,2014,Lindy on Sproul,SAG,4.0,$680.00
1029,2014,LiNK at Cal - Liberty in North Korea,SAG,10.0,$750.00
1030,2014,Longboard Connection @ Berkeley,SAG,3.0,$200.00
1031,2014,Main Stacks Dance Team,SAG,6.0,$900.00
1032,2014,Malaria No More,SAG,2.0,$150.00
1033,2014,Mariachi Luz de Oro,SAG,3.0,$600.00
1034,2014,Materials Science Engineering Association,SAG,1.0,$0.00
1035,2014,Mechanical Engineering Transfer Student Union,SAG,1.0,$200.00
1036,2014,Mind Body Nutrition: Students for Integrative and Preventative Medicine,SAG,2.0,$400.00
1037,2014,Molecular and Cell Biology Cell Developmental Neurobiological Association,SAG,1.0,$200.00
1038,2014,Molecular Cell Biology Undergraduate Student Association,SAG,1.0,$200.00
1039,2014,Movement,SAG,14.0,"$3,100.00"
1040,2014,Multimedia Orchestra @Berkeley,SAG,2.0,$400.00
1041,2014,Music Connection,SAG,6.0,$200.00
1042,2014,Muslim Student Association,SAG,28.0,"$7,500.00"
1043,2014,National Society of Leadership and Success - Sigma Alpha Pi,SAG,1.0,$50.00
1044,2014,Natya at Berkeley,SAG,1.0,$200.00
1045,2014,Nerdfighters of Berkeley,SAG,2.0,$400.00
1046,2014,Net Impact at Berkeley,SAG,13.0,$800.00
1047,2014,Nigerian Students Association,SAG,2.0,$400.00
1048,2014,Nikkei Student Union,SAG,13.0,"$1,600.00"
1049,2014,Olive Tree Initiative,SAG,4.0,$800.00
1050,2014,Omicron Delta Epsilon Economics Honors Society,SAG,8.0,$300.00
1051,2014,Optimir Consulting,SAG,1.0,$200.00
1052,2014,Oratory at Berkeley,SAG,3.0,$200.00
1053,2014,Order of Omega,SAG,1.0,$200.00
1054,2014,Organization of African Students at Berkeley,SAG,2.0,$0.00
1055,2014,"Out in Science, Technology, Engineering, and Mathematics - oSTEM",SAG,4.0,$0.00
1056,2014,OUTLAW at Berkeley,SAG,2.0,$200.00
1057,2014,Pakistani Student Organization,SAG,11.0,"$1,000.00"
1058,2014,Parliamentary Debate at Berkeley,SAG,5.0,"$1,800.00"
1059,2014,Partnership for Pre-Professional Pilipinos,SAG,14.0,"$1,000.00"
1060,2014,PartySafe at Cal,SAG,2.0,$400.00
1061,2014,"Peers Espousing Amiability, Cooperation, and Education",SAG,2.0,$180.00
1062,2014,Personal Finance and Business Entrepreneur Club,SAG,1.0,$200.00
1063,2014,Personal Finance Club at Berkeley,SAG,2.0,$250.00
1064,2014,Phi Alpha Delta,SAG,6.0,$200.00
1065,2014,Phi Alpha Theta,SAG,10.0,$700.00
1066,2014,Phi Chi Pre-Medical Fraternity,SAG,4.0,$300.00
1067,2014,Phi Delta Epsilon CA Iota,SAG,7.0,$750.00
1068,2014,Phi Sigma Pi,SAG,13.0,$780.00
1069,2014,Pi Sigma Epsilon,SAG,2.0,$400.00
1070,2014,Pilipino American Alliance,SAG,24.0,"$5,420.00"
1071,2014,Pilipino Association for Health Careers,SAG,22.0,"$2,000.00"
1072,2014,"Pilipino Association of Scientists, Architects, and Engineers",SAG,26.0,$0.00
1073,2014,Point of Care Diagnostics Idea Lab,SAG,1.0,$48.00
1074,2014,Portraits of Kindness at Berkeley,SAG,2.0,$400.00
1075,2014,Pre- Health Society,SAG,8.0,$800.00
1076,2014,Pre-Dental Society,SAG,32.0,$212.00
1077,2014,"Pre-Pharmacy Informational, Learning, and Leadership Society - PILLS",SAG,14.0,"$2,100.00"
1078,2014,Psi Chi: International Psychology Honour Society,SAG,8.0,$375.00
1079,2014,Quiz Bowl Club,SAG,19.0,$300.00
1080,2014,Rising Immigrant Scholars through Education - RISE,SAG,6.0,"$3,500.00"
1081,2014,Russian Club,SAG,11.0,$400.00
1082,2014,SACNAS at Berkeley: Undergraduate Chapter,SAG,2.0,$400.00
1083,2014,Salsa at Cal,SAG,4.0,$565.00
1084,2014,Sigma Alpha Nu,SAG,7.0,$0.00
1085,2014,Sikh Students Association,SAG,9.0,"$1,100.00"
1086,2014,Singapore Malaysia Student Association,SAG,7.0,$500.00
1087,2014,Society of Asian Scientists and Engineers,SAG,3.0,$0.00
1088,2014,Society of Physics Students at Berkeley,SAG,1.0,$200.00
1089,2014,Society of Women Engineers,SAG,1.0,$0.00
1090,2014,Space Exploration Society at Berkeley,SAG,1.0,$200.00
1091,2014,Speech at Berkeley (formerly Speech and Debate at Berkeley),SAG,5.0,$500.00
1092,2014,Square Up,SAG,1.0,$200.00
1093,2014,Sri Lankan Students Association,SAG,1.0,$200.00
1094,2014,Steel Bridge Competition Team,SAG,1.0,$0.00
1095,2014,Strait Talk,SAG,7.0,"$1,000.00"
1096,2014,Strawberry Creek Collective,SAG,2.0,$400.00
1097,2014,Student Dietetic Association,SAG,2.0,$400.00
1098,2014,Student Organic Gardening Association,SAG,1.0,$200.00
1099,2014,Student Society for Stem Cell Research,SAG,2.0,$400.00
1100,2014,Students Against Fracking,SAG,1.0,$200.00
1101,2014,Students for Hip Hop,SAG,14.0,"$3,500.00"
1102,2014,Students for Integrative Medicine,SAG,5.0,$95.00
1103,2014,Students for Justice in Palestine,SAG,9.0,$600.00
1104,2014,Surfing Club at Berkeley,SAG,3.0,$450.00
1105,2014,Synesthesia Association at Berkeley,SAG,2.0,$400.00
1106,2014,Taiwanese American Student Association,SAG,18.0,"$2,000.00"
1107,2014,Taiwanese Student Association,SAG,18.0,"$1,680.00"
1108,2014,TBD Comedy,SAG,3.0,$400.00
1109,2014,Technology Entrepreneurs Club at Berkeley,SAG,1.0,$200.00
1110,2014,Tennis at Cal,SAG,1.0,$200.00
1111,2014,Theatre Rice: Modern Asian-American Theater,SAG,15.0,"$3,000.00"
1112,2014,Theta Tau,SAG,4.0,$0.00
1113,2014,Thrive Dance Company,SAG,3.0,$500.00
1114,2014,Toxicology Student Association of Berkeley,SAG,4.0,$600.00
1115,2014,TZU CHI,SAG,7.0,$450.00
1116,2014,UC Berkeley Jazz Ensembles,SAG,28.0,"$2,000.00"
1117,2014,Undergraduate Communication Association,SAG,1.0,$200.00
1118,2014,Undergraduate Economics Association,SAG,14.0,$350.00
1119,2014,Undergraduate Finance Association Undergraduate Management Consulting Gr,SAG,7.0,$300.00
1120,2014,Undergraduate Marketing Association,SAG,18.0,$800.00
1121,2014,undergraduate real estate club,SAG,1.0,$200.00
1122,2014,University of California at Berkeley Model United Nations,SAG,22.0,"$7,000.00"
1123,2014,University of California Rally Committee,SAG,114.0,"$35,000.00"
1124,2014,Upsilon Pi Epsilon,SAG,1.0,$200.00
1125,2014,Voyager Consulting,SAG,3.0,$500.00
1126,2014,West Coast Rock Club,SAG,1.0,$200.00
1127,2014,Wild Life Society at Berkeley,SAG,2.0,$150.00
1128,2014,Women in Mathematics at Berkeley,SAG,1.0,$200.00
1129,2014,ZM Chinese Network,SAG,1.0,$200.00
1130,2014,100 Strong,SISG,1.0,$300.00
1131,2014,A Brighter Tomorrow,SISG,2.0,$500.00
1132,2014,Active Minds at Berkeley,SISG,1.0,$130.00
1133,2014,"Alpha Kappa Alpha Sorority, Incorporated, Rho Chapter",SISG,1.0,$300.00
1134,2014,"Alpha Phi Alpha Fraternity, Inc. Alpha Epsilon Chapter",SISG,12.0,"$2,000.00"
1135,2014,Alternative Breaks,SISG,12.0,"$1,200.00"
1136,2014,American Red Cross at Cal,SISG,10.0,"$5,000.00"
1137,2014,Amnesty International,SISG,34.0,$800.00
1138,2014,Art of Living,SISG,5.0,$700.00
1139,2014,Asian American Pacific Islander Health Research Group,SISG,2.0,$500.00
1140,2014,ASUC Renters' Legal Assistance,SISG,32.0,"$3,200.00"
1141,2014,ASUC Student Legal Clinic,SISG,31.0,"$3,000.00"
1142,2014,Autism Speaks U at Berkeley,SISG,4.0,$900.00
1143,2014,Bay-area Environmentally Aware Consulting Network,SISG,7.0,$800.00
1144,2014,Bears for Elder Welfare,SISG,3.0,$40.00
1145,2014,Berkeley City College Service Community (BCCSC),SISG,3.0,$400.00
1146,2014,Berkeley Engineers and Mentors,SISG,6.0,$0.00
1147,2014,Berkeley Medical Reserve Corps,SISG,1.0,$300.00
1148,2014,Berkeley Project,SISG,8.0,"$1,000.00"
1149,2014,Best Buddies at Berkeley,SISG,8.0,$400.00
1150,2014,Black Recruitment and Retention Center,SISG,32.0,"$43,100.00"
1151,2014,Black Students in Health Association,SISG,1.0,$200.00
1152,2014,Blood Pressure Project,SISG,1.0,$300.00
1153,2014,Blueprint,SISG,3.0,$500.00
1154,2014,Body Peace,SISG,2.0,$361.00
1155,2014,bridges Multicultural Resource Center,SISG,18.0,"$22,500.00"
1156,2014,Cal Berkeley Habitat For Humanity,SISG,14.0,"$2,000.00"
1157,2014,Cal Camp,SISG,66.0,"$15,000.00"
1158,2014,Cal Community Music,SISG,30.0,$300.00
1159,2014,Cal Corps Public Service Center: Student-Initiated Community Projects *,SISG,46.0,"$35,000.00"
1160,2014,Cal in Local Government,SISG,7.0,"$1,700.00"
1161,2014,Cal Queer & Asian,SISG,5.0,"$1,100.00"
1162,2014,Cal Veterans Group,SISG,6.0,"$2,000.00"
1163,2014,California Public Interest Group - CALPIRG,SISG,9.0,$370.00
1164,2014,Camp Kesem Berkeley,SISG,2.0,$500.00
1165,2014,Chican@/Latin@ Architecture Student Association,SISG,1.0,$100.00
1166,2014,Chican@s/Latin@s in Health Education,SISG,25.0,"$2,300.00"
1167,2014,Coaching Corps at Berkeley,SISG,1.0,$200.00
1168,2014,Code the Change,SISG,2.0,$500.00
1169,2014,Colleges Against Cancer,SISG,4.0,$900.00
1170,2014,Creative Residencies for Emerging Artists Teaching Empowerment - CREATE,SISG,2.0,$500.00
1171,2014,CS KickStart,SISG,3.0,$0.00
1172,2014,Delta Sigma Theta Sorority Inc. Kappa Chapter,SISG,13.0,"$2,750.00"
1173,2014,Democratic Education at Cal (DeCal) Board,SISG,32.0,"$5,000.00"
1174,2014,Disabled Students' Union,SISG,10.0,$800.00
1175,2014,Dr. Interns,SISG,2.0,$200.00
1176,2014,Drawn to Scale,SISG,4.0,$400.00
1177,2014,DULCE (Diabetes: Unidos Lograremos Controlar Esta Enfermedad),SISG,7.0,$550.00
1178,2014,Empathy FX International Inc,SISG,2.0,"$1,500.00"
1179,2014,"Engineers Without Borders, University of California Berkeley, Student Chapter",SISG,3.0,$0.00
1180,2014,EthiCAL Apparel,SISG,5.0,$600.00
1181,2014,Expanding Your Horizons at Berkeley,SISG,3.0,$0.00
1182,2014,FeelGood Berkeley,SISG,7.0,$782.00
1183,2014,Footprintz at Berkeley,SISG,2.0,$500.00
1184,2014,Free Racquet Club at Berkeley,SISG,2.0,$168.00
1185,2014,"Gamma Zeta Alpha Fraternity, Inc.",SISG,7.0,"$1,000.00"
1186,2014,Gates Millennium Student Association,SISG,8.0,$860.00
1187,2014,Global Health Brigades (formerly Global Medical Brigades),SISG,8.0,$300.00
1188,2014,Global Internships @ Berkeley,SISG,2.0,$200.00
1189,2014,Grant A Wish at Berkeley,SISG,2.0,$200.00
1190,2014,Greening the Greeks,SISG,4.0,$900.00
1191,2014,Health and Medical Apprenticeship Program,SISG,30.0,"$14,500.00"
1192,2014,Hermanas Unidas de UC Berkeley,SISG,9.0,$900.00
1193,2014,Hermanos Unidos,SISG,9.0,$600.00
1194,2014,Hmong Student Association at Berkeley,SISG,7.0,"$1,500.00"
1195,2014,Inside the Living Room,SISG,5.0,$400.00
1196,2014,International Service Learning at Berkeley,SISG,1.0,$300.00
1197,2014,"Iota Phi Theta Fraternity, Inc.",SISG,2.0,$500.00
1198,2014,Iu-Mien Student Union,SISG,8.0,"$1,300.00"
1199,2014,Labor Coach Program,SISG,4.0,$800.00
1200,2014,"Lambda Theta Alpha Latin Sorority, Inc. Delta Omicron Chapter",SISG,8.0,$500.00
1201,2014,"Lambda Theta Nu Sorority, Inc.",SISG,5.0,$600.00
1202,2014,"Lambda Theta Phi Latin Fraternity, Inc.",SISG,8.0,"$1,500.00"
1203,2014,"Lambda Upsilon Lambda Fraternity, Incorporated",SISG,3.0,$700.00
1204,2014,Laotian American Student Representatives,SISG,16.0,$850.00
1205,2014,Let's Rise Asian Mentorship,SISG,11.0,"$1,500.00"
1206,2014,Magnolia Project,SISG,8.0,$900.00
1207,2014,MEDLIFE,SISG,4.0,$450.00
1208,2014,Microfinance at Berkeley,SISG,3.0,$400.00
1209,2014,Mixed Student Union,SISG,18.0,"$1,300.00"
1210,2014,Multi-Cultural Greek Council,SISG,1.0,$300.00
1211,2014,National Council of Negro Women,SISG,8.0,"$2,300.00"
1212,2014,National Pan-Hellenic Council,SISG,1.0,$300.00
1213,2014,Native American Recruitment and Retention Center,SISG,22.0,"$11,000.00"
1214,2014,Oakland Asian Student Educational Services,SISG,12.0,"$1,000.00"
1215,2014,Oakland Community Builders,SISG,2.0,$500.00
1216,2014,"Omega Phi Beta Sorority, Incorporated",SISG,4.0,$900.00
1217,2014,Open Computing Facility,SISG,25.0,"$20,000.00"
1218,2014,Patient Advocacy Student Group,SISG,2.0,$500.00
1219,2014,People's Test Preparation Service,SISG,18.0,"$3,700.00"
1220,2014,PERSIST - People Eliminating Resource Scarcity In Support of Teachers,SISG,2.0,$350.00
1221,2014,Picknic (Formerly Project Nutrition),SISG,2.0,$150.00
1222,2014,Pilipino Academic Student Services,SISG,30.0,"$29,000.00"
1223,2014,Professional Development in Asia,SISG,2.0,$194.00
1224,2014,"Project RISHI, The Berkeley Chapter",SISG,7.0,$790.00
1225,2014,Project SMILE - Project Spreading Multiculturalism and Inspiring Leadership thro,SISG,6.0,"$2,200.00"
1226,2014,Project Vision,SISG,8.0,$570.00
1227,2014,PUENTE,SISG,2.0,$250.00
1228,2014,Queer Alliance and Resource Center,SISG,47.0,"$10,000.00"
1229,2014,Queer Straight Alliance,SISG,7.0,$300.00
1230,2014,RAZA Recruitment and Retention Center,SISG,37.0,"$50,000.00"
1231,2014,REACH! Asian/Pacific Islander Recruitment and Retention Center,SISG,19.0,"$16,500.00"
1232,2014,Re-entry and Transfer Student Parent Association,SISG,17.0,"$2,500.00"
1233,2014,Rotaract,SISG,10.0,"$1,200.00"
1234,2014,Sage Mentorship Program,SISG,2.0,$500.00
1235,2014,Sigma Gamma Rho Sorority Inc.,SISG,2.0,$300.00
1236,2014,Sigma Pi Alpha,SISG,6.0,$500.00
1237,2014,Southeast Asian Mentorship,SISG,8.0,$700.00
1238,2014,Southeast Asian Prison Outreach Project,SISG,4.0,$650.00
1239,2014,Southeast Asian Student Coalition,SISG,14.0,"$6,500.00"
1240,2014,Spring Foundation,SISG,3.0,$700.00
1241,2014,Stop the Traffick,SISG,6.0,$600.00
1242,2014,Student Abolitionist Movement,SISG,2.0,$300.00
1243,2014,Student Financial Advisory Committee,SISG,1.0,$0.00
1244,2014,Student National Medical Association-Minority Association of Pre-med Students,SISG,3.0,$100.00
1245,2014,Student Parent Association for Recruitment and Retention,SISG,15.0,"$3,500.00"
1246,2014,Students Of the World,SISG,2.0,$500.00
1247,2014,Student-to-Student Peer Counseling,SISG,24.0,"$2,500.00"
1248,2014,Suitcase Clinic,SISG,16.0,"$7,000.00"
1249,2014,Supporting Peers In Laid-back Listening,SISG,5.0,$450.00
1250,2014,Take Back the Night,SISG,12.0,$500.00
1251,2014,Teach in Prison,SISG,5.0,"$4,430.89"
1252,2014,Team HBV,SISG,8.0,$800.00
1253,2014,Theater For Charity,SISG,10.0,"$1,500.00"
1254,2014,TRENZA,SISG,16.0,"$1,601.00"
1255,2014,UNICEF at Cal,SISG,12.0,$825.00
1256,2014,Universal Love And Peace,SISG,4.0,$900.00
1257,2014,Vietnamese Student Association,SISG,23.0,"$5,000.00"
1258,2014,VISION,SISG,1.0,$300.00
1259,2014,Volunteer Health Interpreters Organization,SISG,9.0,$900.00
1260,2014,Volunteers Around the World,SISG,4.0,$800.00
1261,2014,Volunteers for Medical Outreach,SISG,7.0,"$1,500.00"
1262,2014,Women and Youth Supporting Each Other,SISG,2.0,$500.00
1263,2014,WonderWorks,SISG,4.0,$460.00
1264,2014,World Literacy Project,SISG,3.0,$200.00
1265,2014,Writer Coach Connection at Berkeley,SISG,1.0,$250.00
1266,2014,Xinaxtli la Mexa de UCB,SISG,43.0,"$2,700.00"
1267,2014,You Mean More,SISG,4.0,$900.00
1268,2014,Young Queers United for Empowerment,SISG,7.0,$925.00
1269,2014,Youth Empowerment Program,SISG,3.0,$700.00
1270,2014,Youth Support Program,SISG,19.0,$800.00
1271,2014,ASUC In-Game Recognition Program,PRO,,$500.00
1272,2014,ASUC Sustainability Team,PRO,,"$1,600.00"
1273,2014,Dance Marathon,ASUC,,"$6,500.00"
1274,2014,(Under SERC) Green Certification Program,PRO,,"$1,000.00"
1275,2014,Innovative Design,PRO,,"$3,000.00"
1276,2014,Sexual Assault Commission,PRO,,"$1,500.00"
1277,2014,Student Initiative Fund/ Bears Breaking Program,PRO,,"$15,000.00"
1278,2014,"SUPERB - Student Union Program, Entertainment, and Recreation Board",PRO,,"$126,000.00"
1279,2014,(Under SUPERB) Cal Day Concert,PRO,,"$10,000.00"
1280,2014,(Under SUPERB) Perspective,PRO,,"$2,500.00"
1281,2014,Attorney's Fee,OPS,,"$60,000.00"
1282,2014,Audit,OPS,,"$15,000.00"
1283,2014,Bank Fee,OPS,,"$6,000.00"
1284,2014,CNS Internet Operation Fee,OPS,,"$13,257.00"
1285,2014,ASUC Archives,LEAD,,"$4,000.00"
1286,2014,Executive Officer Leadership Institute,LEAD,,"$3,500.00"
1287,2014,Office of the Secretariet,LEAD,,"$64,000.00"
1288,2014,(Under Secretariat) Web Secretary,LEAD,,"$2,000.00"
1289,2014,Publication Center,LEAD,,"$5,250.00"
1290,2014,President Stipend,OP,,"$4,000.00"
1291,2014,Chief-of-Staff Stipend,OP,,"$1,500.00"
1292,2014,President Discretionary Fund,OP,,"$6,500.00"
1293,2014,Spring Welcome Week,OP,,"$3,000.00"
1294,2014,EVP Stipend,EVP,,"$4,000.00"
1295,2014,Chief-of-Staff Stipend,EVP,,"$1,500.00"
1296,2014,EVP Discretionary Fund,EVP,,"$8,000.00"
1297,2014,Cal Lodge Fund,EVP,,"$100,000.00"
1298,2014,Fall Welcome Week,EVP,,"$2,500.00"
1299,2014,Office of Environmental Sustainability,EVP,,"$1,000.00"
1300,2014,Outreach Program,EVP,,"$2,500.00"
1301,2014,EAVP Stipend,EAVP,,"$4,000.00"
1302,2014,Chief-of-Staff Stipend,EAVP,,"$1,500.00"
1303,2014,EAVP Discretionary Fund,EAVP,,"$14,500.00"
1304,2014,Cal Housing Commission,EAVP,,"$2,500.00"
1305,2014,Executive Affairs Commission,EAVP,,"$2,500.00"
1306,2014,Lobby Corps,EAVP,,"$10,000.00"
1307,2014,UC Student Association,EAVP,,"$32,000.00"
1308,2014,Voter Registration,EAVP,,"$1,000.00"
1309,2014,AAVP Stipend,AAVP,,"$4,000.00"
1310,2014,Chief-of-Staff Stipend,AAVP,,"$1,500.00"
1311,2014,AAVP Discretionary Fund,AAVP,,"$6,500.00"
1312,2014,Academic Opportunity Fund,AAVP,,"$10,000.00"
1313,2014,Arts and Creative Expressions Fund,AAVP,,"$5,000.00"
1314,2014,Disabled Students Accommodation Fund,AAVP,,"$5,000.00"
1315,2014,Education Enhancement Fund,AAVP,,"$5,000.00"
1316,2014,Golden Apple,AAVP,,"$1,500.00"
1317,2014,Intellectual Community Fund,AAVP,,"$3,500.00"
1318,2014,Malik Nixon Scholarship,AAVP,,$500.00
1319,2014,Multicultural Fund,AAVP,,"$4,000.00"
1320,2014,Public Service Fund,AAVP,,"$5,000.00"
1321,2014,Student Parent Award Recognizing Community Leadership (SPARCL) Award,AAVP,,"$2,000.00"
1322,2014,Textbook Scholarship Program,AAVP,,"$5,000.00"
